UniProt_ID,region,n_residues,score
O00254,Cytoplasmic,55,0.25749038614718034
O00254,Transmembrane,162,0.05559336228893209
O00254,Extracellular/Lumenal,119,0.13041964381051427
O14763,Cytoplasmic,209,0.39070792506770324
O14763,Transmembrane,21,0.354422216350199
O14763,Extracellular/Lumenal,155,0.19051526420280013
P04626,Cytoplasmic,580,0.7808297534712756
P04626,Transmembrane,23,0.22029199451591375
P04626,Extracellular/Lumenal,630,0.24087419874414487
P08172,Cytoplasmic,239,0.7990289876751828
P08172,Transmembrane,173,0.06973331253258401
P08172,Extracellular/Lumenal,54,0.3321794204075432
P31645,Cytoplasmic,208,0.5596385497151113
P31645,Transmembrane,258,0.06384704552679019
P31645,Extracellular/Lumenal,164,0.20650759374642905
Q07065,Cytoplasmic,106,0.7911327663236672
Q07065,Transmembrane,21,0.1545170500716061
Q07065,Extracellular/Lumenal,475,0.8455894876018455
Q13021,Transmembrane,84,0.11835281905094001
Q14739,Cytoplasmic,211,0.8735264192229035
Q14739,Transmembrane,168,0.06720302432649922
Q8TEM1,Cytoplasmic,1840,0.44838233165489816
Q8TEM1,Transmembrane,21,0.22181457790657977
Q9H3U5,Transmembrane,253,0.03587037736967571
P08908,Cytoplasmic,183,0.8842731376919765
P08908,Transmembrane,165,0.0967834800804101
P08908,Extracellular/Lumenal,74,0.3529633792066087
P15954,Transmembrane,27,0.1501589079890298
P20963,Cytoplasmic,113,0.6662152107380857
P20963,Transmembrane,21,0.1491822258979562
P61073,Cytoplasmic,113,0.4747943944326775
P61073,Transmembrane,148,0.058477562498408284
P61073,Extracellular/Lumenal,91,0.3440340073321851
Q12879,Cytoplasmic,663,0.37325978809774224
Q12879,Transmembrane,62,0.1372739794279309
Q12879,Extracellular/Lumenal,702,0.6951853170033271
Q86WV6,Cytoplasmic,284,0.23136272307487574
Q86WV6,Transmembrane,75,0.06665103951729917
Q86WV6,Extracellular/Lumenal,20,0.7049111848915428
Q8NC56,Transmembrane,42,0.06620726885904735
Q9BR39,Cytoplasmic,674,0.7419722444731855
Q9BR39,Transmembrane,21,0.1287184715763509
Q9BRQ8,Transmembrane,21,0.5304615528414267
Q9UJA2,Transmembrane,107,0.22002338667661103
O60733,Transmembrane,42,0.14119748318051784
O75581,Cytoplasmic,220,0.4433390823036292
O75581,Transmembrane,23,0.5398298912336206
O75581,Extracellular/Lumenal,1351,0.5119097526177155
P63027,Cytoplasmic,93,0.6121385155589822
P63027,Transmembrane,20,0.3177540634816038
Q15303,Cytoplasmic,633,0.8550381559647338
Q15303,Transmembrane,24,0.15925320193671383
Q15303,Extracellular/Lumenal,626,0.480727997614286
Q9H461,Cytoplasmic,155,0.13406299482214767
Q9H461,Transmembrane,147,0.08120826808189084
Q9H461,Extracellular/Lumenal,365,0.32049639971920907
P07766,Cytoplasmic,55,0.831665910748056
P07766,Transmembrane,26,0.11198592431922832
P07766,Extracellular/Lumenal,104,0.4753232286957998
P07949,Cytoplasmic,457,0.6484449350632986
P07949,Transmembrane,22,0.18189358193677382
P07949,Extracellular/Lumenal,607,0.14905049884408772
P29317,Cytoplasmic,418,0.8706414106073668
P29317,Transmembrane,21,0.18209793168486121
P29317,Extracellular/Lumenal,514,0.28691706155022223
P31431,Cytoplasmic,28,0.7282816538897721
P31431,Transmembrane,25,0.24942765510545573
P31431,Extracellular/Lumenal,127,0.464633012175944
P35968,Cytoplasmic,571,0.824279706861947
P35968,Transmembrane,21,0.10611423270692946
P35968,Extracellular/Lumenal,745,0.43690789679230724
Q03135,Cytoplasmic,156,0.49071379665965575
Q7Z3C6,Cytoplasmic,653,0.10158563029993424
Q7Z3C6,Transmembrane,93,0.19810971424950277
Q7Z3C6,Extracellular/Lumenal,53,0.3926073518658821
Q9Y624,Cytoplasmic,40,0.6635760234931204
Q9Y624,Transmembrane,21,0.17629818969086553
Q9Y624,Extracellular/Lumenal,211,0.6221972675322845
O43561,Cytoplasmic,235,0.4116550227236472
O43561,Transmembrane,23,0.12299769519938028
O60500,Cytoplasmic,166,0.29407026996241425
