name,preds
P15941|extra|seg0,0.9039049
Q7Z434|extra|seg0,0.019694403
O43561|extra|seg0,0.019152831
P31431|extra|seg0,0.055619262
O75445|extra|seg0,0.37864983
Q9UM73|extra|seg0,0.09843944
Q9H461|extra|seg0,0.6685365
Q9H461|extra|seg1,0.34519562
Q9H461|extra|seg2,0.03262939
Q9H461|extra|seg3,0.08725082
O14763|extra|seg0,0.10572036
P46531|extra|seg0,0.97497374
Q8N114|extra|seg0,0.05497647
Q07065|extra|seg0,0.58593774
P08172|extra|seg0,0.0599382
P08172|extra|seg1,0.023418177
P08172|extra|seg2,0.020588461
P08172|extra|seg3,0.032902483
Q08345|extra|seg0,0.10671189
O60500|extra|seg0,0.5198924
P05067|extra|seg0,0.85776454
Q8WXG9|extra|seg0,0.13814
Q8WXG9|extra|seg1,0.03614228
Q8WXG9|extra|seg2,0.026848784
Q8WXG9|extra|seg3,0.021939838
P11362|extra|seg0,0.58875453
P40967|extra|seg0,0.047364876
P07766|extra|seg0,0.056207817
P20963|extra|seg0,0.022925466
P04626|extra|seg0,0.28113195
O75460|extra|seg0,0.09216953
P35968|extra|seg0,0.2921921
Q12879|extra|seg0,0.08003081
Q12879|extra|seg1,0.18281952
Q86WV6|extra|seg0,0.025406484
Q86WV6|extra|seg1,0.03776833
P07949|extra|seg0,0.081940465
P08908|extra|seg0,0.08812694
P08908|extra|seg1,0.023516005
P08908|extra|seg2,0.032631055
P08908|extra|seg3,0.024816226
P01857|extra|seg0,0.85078794
Q7Z3C6|extra|seg0,0.05115761
Q7Z3C6|extra|seg1,0.020228332
O75581|extra|seg0,0.95042294
P63027|extra|seg0,0.01921201
Q04671|extra|seg0,0.064236425
Q04671|extra|seg1,0.030001339
Q04671|extra|seg2,0.022650296
Q04671|extra|seg3,0.020595431
Q04671|extra|seg4,0.04352566
Q04671|extra|seg5,0.018430624
Q14BN4|extra|seg0,0.021562032
P15529|extra|seg0,0.76715535
Q8TEM1|extra|seg0,0.13916695
P00533|extra|seg0,0.81981504
P21802|extra|seg0,0.7658447
P08247|extra|seg0,0.03018213
P08247|extra|seg1,0.038068168
Q14739|extra|seg0,0.38720113
P29317|extra|seg0,0.4954924
P17948|extra|seg0,0.3466146
P05556|extra|seg0,0.85646206
P10747|extra|seg0,0.061386086
Q16635|extra|seg0,0.10446833
Q16635|extra|seg1,0.023392366
P61073|extra|seg0,0.045698218
P61073|extra|seg1,0.021881757
P61073|extra|seg2,0.027832268
P61073|extra|seg3,0.023317263
Q15303|extra|seg0,0.83229774
O00254|extra|seg0,0.080342986
O00254|extra|seg1,0.033429697
O00254|extra|seg2,0.033029538
O00254|extra|seg3,0.03277448
Q9Y624|extra|seg0,0.68907493
P31645|extra|seg0,0.022319918
P31645|extra|seg1,0.046113204
P31645|extra|seg2,0.032175343
P31645|extra|seg3,0.05374563
P31645|extra|seg4,0.0376417
P31645|extra|seg5,0.03383744
P49146|extra|seg0,0.042019457
P49146|extra|seg1,0.028548835
P49146|extra|seg2,0.025876218
P49146|extra|seg3,0.019297818
P15954|extra|seg0,0.029341824
P15954|extra|seg1,0.01958329
P13569|extra|seg0,0.03189011
P13569|extra|seg1,0.020303939
P13569|extra|seg2,0.02480259
P13569|extra|seg3,0.03404608
P13569|extra|seg4,0.019401258
P13569|extra|seg5,0.03360146
