Rank,UniProt_ID,STRING_ID,Protein_Names,pLLPS_Score
1,Q9Y6V0,PCLO_HUMAN,Protein piccolo (Aczonin),1.0
2,Q9UPA5,BSN_HUMAN,Protein bassoon (Zinc finger protein 231),1.0
3,Q7Z6Z7,HUWE1_HUMAN,"E3 ubiquitin-protein ligase HUWE1 (EC 2.3.2.26) (ARF-binding protein 1) (ARF-BP1) (HECT, UBA and WWE domain-containing protein 1) (HECT-type E3 ubiquitin transferase HUWE1) (Homologous to E6AP carboxyl terminus homologous protein 9) (HectH9) (Large structure of UREB1) (LASU1) (Mcl-1 ubiquitin ligase E3) (Mule) (Upstream regulatory element-binding protein 1) (URE-B1) (URE-binding protein 1)",1.0
4,Q8IXJ9,ASXL1_HUMAN,Polycomb group protein ASXL1 (Additional sex combs-like protein 1),1.0
5,Q7Z6E9,RBBP6_HUMAN,E3 ubiquitin-protein ligase RBBP6 (EC 2.3.2.27) (Proliferation potential-related protein) (Protein P2P-R) (RING-type E3 ubiquitin transferase RBBP6) (Retinoblastoma-binding Q protein 1) (RBQ-1) (Retinoblastoma-binding protein 6) (p53-associated cellular protein of testis),1.0
6,Q8WXX7,AUTS2_HUMAN,Autism susceptibility gene 2 protein,1.0
7,O75592,MYCB2_HUMAN,E3 ubiquitin-protein ligase MYCBP2 (EC 2.3.2.33) (Myc-binding protein 2) (Protein associated with Myc),1.0
8,Q5JTC6,AMER1_HUMAN,APC membrane recruitment protein 1 (Amer1) (Protein FAM123B) (Wilms tumor gene on the X chromosome protein),1.0
9,P49792,RBP2_HUMAN,E3 SUMO-protein ligase RanBP2 (EC 2.3.2.-) (358 kDa nucleoporin) (Nuclear pore complex protein Nup358) (Nucleoporin Nup358) (Ran-binding protein 2) (RanBP2) (p270),1.0
10,O95071,UBR5_HUMAN,"E3 ubiquitin-protein ligase UBR5 (EC 2.3.2.26) (E3 ubiquitin-protein ligase, HECT domain-containing 1) (HECT-type E3 ubiquitin transferase UBR5) (Hyperplastic discs protein homolog) (hHYD) (Progestin-induced protein)",1.0
