,mean_rank_corr,weighted_mean_rank_corr,rank_sd,Entry_name,TMD_count,Length,TMD_class,whole_hydropathy,disorder_frac
Q07065,0.8025714286488225,0.8214686294009507,0.227707474070537,CKAP4_HUMAN,1,602,single,-0.7026578073089701,0.735165644171779
P17948,0.5395939246565227,0.5506624800577915,0.27768758637623686,VGFR1_HUMAN,1,1338,single,-0.35000000000000003,4.9079754601227e-05
P05067,0.5653109079852443,0.5818464024491867,0.28643761361045206,A4_HUMAN,1,770,single,-0.5838961038961038,4.9079754601227e-05
Q9BR39,0.8366791194969546,0.8400529264094325,0.22767958782478612,JPH2_HUMAN,1,696,single,-0.7086206896551724,0.853938650306748
P21802,0.6273822843265152,0.6407031993203222,0.244103261184867,FGFR2_HUMAN,1,821,single,-0.34859926918392203,0.581398773006135
O75460,0.6088188054535836,0.59894572398101,0.22630824867826782,ERN1_HUMAN,1,977,single,-0.3442169907881269,4.9079754601227e-05
P35968,0.5678849972245649,0.5747596333290619,0.26073895436922667,VGFR2_HUMAN,1,1356,single,-0.27300884955752214,0.605006134969325
P00533,0.7701485045493628,0.7884804019074017,0.19388033782704037,EGFR_HUMAN,1,1210,single,-0.3160330578512397,0.547386503067484
Q9BRQ8,0.3387888361533669,0.3413548852327136,0.24685992569121967,FSP1_HUMAN,1,373,single,0.0262734584450402,4.9079754601227e-05
P11362,0.6192470805347239,0.6293630508595076,0.20872392848214463,FGFR1_HUMAN,1,822,single,-0.3665450121654502,0.594895705521472
Q15303,0.6521676765716877,0.6705006057616171,0.25956033030899084,ERBB4_HUMAN,1,1308,single,-0.38409785932721713,4.9079754601227e-05
P05556,0.55576949238666,0.5768856867654393,0.27510096737135903,ITB1_HUMAN,1,798,single,-0.40350877192982454,4.9079754601227e-05
Q14BN4,0.4622167663187074,0.46368011724757296,0.24413370873096182,SLMAP_HUMAN,2,828,multi,-0.807608695652174,4.9079754601227e-05
P29317,0.5741098313109141,0.5926076751946984,0.25802246869057527,EPHA2_HUMAN,1,976,single,-0.25,4.9079754601227e-05
P15941,0.6562023192525515,0.6664574071963828,0.30122738873177707,MUC1_HUMAN,1,1255,single,-0.46693227091633466,0.930159509202453
O60733,0.386383769851425,0.38175323631144886,0.2191634084733714,PLPL9_HUMAN,2,806,multi,-0.22084367245657568,4.9079754601227e-05
Q8WXG9,0.5583506789572803,0.5611216995126693,0.29644100270371815,AGRV1_HUMAN,7,6306,multi,0.030447193149381536,
P01857,0.45663089925077105,0.48281973175073656,0.2466541678652267,IGHG1_HUMAN,1,330,single,-0.4281818181818182,4.9079754601227e-05
Q12879,0.5812676838742697,0.5859150805101861,0.2042027207433834,NMDE1_HUMAN,4,1464,multi,-0.3927595628415301,4.9079754601227e-05
Q8TEM1,0.44486347290801437,0.4450170893914687,0.20801355994922374,PO210_HUMAN,1,1887,single,0.061738208797032325,0.53560736196319
O14763,0.49067144448807987,0.47246658727736457,0.28652945067063995,TR10B_HUMAN,1,440,single,-0.4086363636363636,0.659239263803681
P08908,0.42900627077768977,0.4382289038914102,0.2099804351180122,5HT1A_HUMAN,7,422,multi,0.19526066350710902,4.9079754601227e-05
P04626,0.7458482874533046,0.7519598749688199,0.12701067386680814,ERBB2_HUMAN,1,1255,single,-0.24749003984063747,0.690748466257668
P31431,0.38772570334137896,0.3906975277784614,0.2812865813540046,SDC4_HUMAN,1,198,single,-0.13333333333333333,4.9079754601227e-05
O43561,0.6803499198274944,0.6992473289901403,0.2718003616808674,LAT_HUMAN,1,262,single,-0.4259541984732825,0.817914110429447
O75581,0.6885577754337174,0.6848499437931924,0.18287348922760563,LRP6_HUMAN,1,1613,single,-0.34128952262864226,0.579484662576687
Q9UM73,0.7138955093932946,0.7255037379638354,0.19863470023411162,ALK_HUMAN,1,1620,single,-0.2972222222222223,0.515877300613496
Q7Z434,0.7200793243166125,0.7416508579566334,0.2771424318261371,MAVS_HUMAN,1,540,single,-0.40425925925925926,0.831754601226993
Q14739,0.5191633533969502,0.5149861168162062,0.2038108254549028,LBR_HUMAN,8,615,multi,-0.05560975609756105,0.541987730061349
P63027,0.461625089765668,0.443509137721484,0.3020997829860567,VAMP2_HUMAN,1,116,single,-0.016379310344827543,0.941447852760736
Q16635,0.2031992272233436,0.20766453522178024,0.13789941753995374,TAZ_HUMAN,1,292,single,-0.11297709923664129,4.9079754601227e-05
P20963,0.5542664069422044,0.5683625899783659,0.29399752859631295,CD3Z_HUMAN,1,164,single,-0.648780487804878,0.914110429447852
P07949,0.579051866010862,0.5883217841632806,0.23068428605930813,RET_HUMAN,1,1114,single,-0.24811490125673252,4.9079754601227e-05
Q08345,0.614426566184541,0.6052099856908681,0.20626697364446966,DDR1_HUMAN,1,913,single,-0.24841182913472074,4.9079754601227e-05
P13569,0.4192033889302338,0.41963330344121247,0.2314153622394463,CFTR_HUMAN,12,1480,multi,0.02364864864864863,0.539533742331288
O60500,0.5618171545208944,0.5694978012325231,0.255076992559687,NPHN_HUMAN,1,1241,single,-0.24560838033843677,4.9079754601227e-05
P15529,0.3556328138613044,0.3347585438860712,0.22477264815661643,MCP_HUMAN,1,392,single,-0.2316326530612245,4.9079754601227e-05
Q8NC56,0.6504576848566659,0.6415793005408343,0.2796315589799923,LEMD2_HUMAN,2,503,multi,-0.4671968190854871,0.778993865030674
P08172,0.4189699497994893,0.41456040479095285,0.20385747139717236,ACM2_HUMAN,7,466,multi,0.07167381974248928,4.9079754601227e-05
P08247,0.6046412286330463,0.6046892214512702,0.3269400187844819,SYPH_HUMAN,4,313,multi,-0.04952076677316294,0.801128834355828
P40967,0.42784847533186454,0.43189941215021876,0.2321808421244022,PMEL_HUMAN,1,661,single,0.02602118003025718,4.9079754601227e-05
P15954,0.27500963020030816,0.2755958749670195,0.32225042284861605,COX7C_HUMAN,1,63,single,-0.07777777777777782,0.960638036809816
Q03135,0.27996289577697797,0.30365006453936794,0.25128384278016563,CAV1_HUMAN,1,178,single,0.06404494382022476,4.9079754601227e-05
O75445,0.5780666689367085,0.5784773234346821,0.31491576859914305,USH2A_HUMAN,1,5202,single,-0.2633986928104575,4.9079754601227e-05
P07766,0.48604291470728456,0.4759570743707106,0.269723359569035,CD3E_HUMAN,1,207,single,-0.5381642512077295,0.820907975460122
P46531,0.6843011684394071,0.6973674750969691,0.3297280677360894,NOTC1_HUMAN,1,2555,single,-0.4201174168297456,0.563042944785276
Q9UJA2,0.311035860497548,0.28203075277583983,0.27395746567305734,CRLS1_HUMAN,5,301,multi,0.3292358803986711,4.9079754601227e-05
Q9Y624,0.40831407084137106,0.4101879366371893,0.19938031018031896,JAM1_HUMAN,1,299,single,-0.09197324414715721,4.9079754601227e-05
P10747,0.2933967928184914,0.2887249591823983,0.2210792288574848,CD28_HUMAN,1,220,single,-0.055454545454545465,4.9079754601227e-05
Q9H461,0.6216315282093221,0.6018122564574852,0.31144700071285353,FZD8_HUMAN,7,694,multi,0.04654178674351583,0.653742331288343
P31645,0.3193069344596614,0.30828443031130986,0.18174097311625367,SC6A4_HUMAN,12,630,multi,0.4223809523809524,0.544294478527607
Q04671,0.3643539677960915,0.3316605766249738,0.2743435288100555,P_HUMAN,12,838,multi,0.36420047732696903,0.624196319018404
Q13021,0.19172666738417765,0.17112991497694352,0.21364234225096035,MALL_HUMAN,4,153,multi,0.8633986928104574,4.9079754601227e-05
Q7Z3C6,0.4916055618180415,0.4718417634302877,0.25375054350138304,ATG9A_HUMAN,8,839,multi,-0.08891537544696068,0.644319018404908
P49146,0.19846641715354996,0.17984464270757422,0.17956799657187786,NPY2R_HUMAN,7,381,multi,0.3490813648293962,0.587533742331288
Q86WV6,0.34543223537348244,0.32370247440221855,0.2681921022892014,STING_HUMAN,4,379,multi,-0.053562005277044925,0.655411042944785
P61073,0.34045111799733596,0.33843738856346417,0.19957465075688485,CXCR4_HUMAN,7,352,multi,0.3994318181818181,0.631116564417177
Q9H3U5,0.24286917927909654,0.21945144402564307,0.2444586405731342,MFSD1_HUMAN,12,465,multi,0.7081720430107525,0.550773006134969
Q8N114,0.5007864175106324,0.4863964987266918,0.3580044560284653,SHSA5_HUMAN,1,240,single,0.06374999999999999,0.537717791411042
O00254,0.2334765355636499,0.2103377033638209,0.21243020454384906,PAR3_HUMAN,7,374,multi,0.6256684491978609,4.9079754601227e-05
