UniProt_ID,mean_rank,weighted_mean_rank,rank_sd,Entry_name,TMD_count,Length,TMD_class,leakage_any,wlen,whole_FCR,whole_NCPR,whole_kappa,whole_hydropathy,cyto_len,cyto_FCR,cyto_NCPR,cyto_kappa,cyto_hydropathy,disorder_frac,LCR_frac,n_Cytoplasmic,n_Transmembrane,n_Extracellular/Lumenal,cyto_frac,TM_frac,ecto_frac,log_length
Q13021,0.8082733326158223,0.8288700850230565,0.2136423422509603,MALL_HUMAN,4,153,multi,False,153,0.0784313725490196,-0.013071895424836602,0.1260090548872571,0.8633986928104574,0,,,,,4.9079754601227e-05,0.410061349693251,0,84,0,0.0,0.5490196078431373,0.0,2.184691430817599
P49146,0.8015335828464499,0.8201553572924258,0.1795679965718778,NPY2R_HUMAN,7,381,multi,False,381,0.17585301837270342,-0.0026246719160104987,0.2103650712010679,0.3490813648293962,112,0.2857142857142857,0.125,0.22548642169932465,-0.8723214285714286,0.587533742331288,0.350085889570552,112,182,87,0.29396325459317585,0.4776902887139108,0.2283464566929134,2.5809249756756194
Q16635,0.7968007727766564,0.7923354647782197,0.1378994175399537,TAZ_HUMAN,1,292,single,False,262,0.19083969465648856,0.022900763358778626,0.1494532030376038,-0.11297709923664129,0,,,,,4.9079754601227e-05,4.9079754601227e-05,0,0,241,0.0,0.0,0.8253424657534246,2.4653828514484184
O00254,0.76652346443635,0.789662296636179,0.2124302045438491,PAR3_HUMAN,7,374,multi,False,374,0.10160427807486631,0.016042780748663103,0.2165770361245549,0.6256684491978609,55,0.2,0.16363636363636364,0.12221199280902172,-0.44181818181818183,4.9079754601227e-05,0.307877300613496,55,162,119,0.14705882352941177,0.43315508021390375,0.3181818181818182,2.5728716022004803
Q9H3U5,0.7571308207209034,0.7805485559743571,0.2444586405731342,MFSD1_HUMAN,12,465,multi,False,465,0.12903225806451613,-0.004301075268817204,0.13663827809150794,0.7081720430107525,0,,,,,0.550773006134969,0.750871165644171,0,253,0,0.0,0.5440860215053763,0.0,2.667452952889954
P15954,0.7249903697996918,0.7244041250329805,0.322250422848616,COX7C_HUMAN,1,63,single,False,63,0.19047619047619047,0.09523809523809523,0.23067005341008165,-0.07777777777777782,0,,,,,0.960638036809816,4.9079754601227e-05,0,27,20,0.0,0.42857142857142855,0.31746031746031744,1.7993405494535817
Q9UJA2,0.688964139502452,0.7179692472241602,0.2739574656730573,CRLS1_HUMAN,5,301,multi,False,301,0.14285714285714285,0.04983388704318937,0.23665258884014828,0.3292358803986711,0,,,,,4.9079754601227e-05,0.896490797546012,0,107,0,0.0,0.3554817275747508,0.0,2.4785664955938436
P10747,0.7066032071815086,0.7112750408176017,0.2210792288574848,CD28_HUMAN,1,220,single,False,220,0.16363636363636364,0.05454545454545454,0.18975662682428412,-0.055454545454545465,41,0.2926829268292683,0.1951219512195122,0.21974357449464177,-1.5707317073170732,4.9079754601227e-05,4.9079754601227e-05,41,27,134,0.18636363636363637,0.12272727272727273,0.6090909090909091,2.342422680822206
Q03135,0.7200371042230219,0.6963499354606322,0.2512838427801656,CAV1_HUMAN,1,178,single,False,178,0.21910112359550563,-0.028089887640449437,0.16609268223968804,0.06404494382022476,156,0.25,-0.03205128205128205,0.16471152255243204,-0.217948717948718,4.9079754601227e-05,4.9079754601227e-05,156,0,0,0.8764044943820225,0.0,0.0,2.250420002308894
P31645,0.6806930655403386,0.6917155696886902,0.1817409731162536,SC6A4_HUMAN,12,630,multi,False,630,0.1349206349206349,-0.007936507936507936,0.18424667170901246,0.4223809523809524,208,0.24519230769230768,-0.004807692307692308,0.20421012922338558,-0.5177884615384615,0.544294478527607,4.9079754601227e-05,208,258,164,0.33015873015873015,0.4095238095238095,0.26031746031746034,2.7993405494535817
Q86WV6,0.6545677646265177,0.6762975255977816,0.2681921022892014,STING_HUMAN,4,379,multi,True,379,0.17941952506596306,-0.005277044854881266,0.17063401766258154,-0.053562005277044925,284,0.2112676056338028,-0.007042253521126761,0.16575543254783542,-0.372887323943662,0.655411042944785,0.587828220858895,284,75,20,0.7493403693931399,0.19788918205804748,0.052770448548812667,2.578639209968072
