UniProt_ID,region,seg_idx,length,fuzdrop_score
P15941,Extracellular/Lumenal,0,1135,0.9987
P15941,Cytoplasmic,0,74,0.6441
Q7Z434,Cytoplasmic,0,512,0.9947
Q9BR39,Cytoplasmic,0,674,0.9499
O43561,Extracellular/Lumenal,0,4,0.0248
O43561,Cytoplasmic,0,235,0.9887
P31431,Extracellular/Lumenal,0,127,0.9798
O75445,Extracellular/Lumenal,0,5011,0.0935
O75445,Cytoplasmic,0,139,0.124
Q9UM73,Extracellular/Lumenal,0,1020,0.1005
Q9UM73,Cytoplasmic,0,561,0.2101
Q9H461,Extracellular/Lumenal,0,248,0.1908
Q9H461,Extracellular/Lumenal,1,63,0.1558
Q9H461,Cytoplasmic,3,89,0.9931
O14763,Extracellular/Lumenal,0,155,0.1709
O14763,Cytoplasmic,0,209,0.258
P46531,Extracellular/Lumenal,0,1717,0.1047
P46531,Cytoplasmic,0,799,0.4358
Q8N114,Extracellular/Lumenal,0,77,0.1363
Q8N114,Cytoplasmic,0,114,0.9228
Q07065,Cytoplasmic,0,106,0.9926
Q07065,Extracellular/Lumenal,0,475,0.9913
P08172,Cytoplasmic,2,180,0.5899
Q08345,Extracellular/Lumenal,0,397,0.1104
Q08345,Cytoplasmic,0,475,0.1626
O60500,Extracellular/Lumenal,0,1032,0.1018
O60500,Cytoplasmic,0,166,0.7994
P05067,Extracellular/Lumenal,0,684,0.1887
P05067,Cytoplasmic,0,48,0.2044
Q8WXG9,Extracellular/Lumenal,0,5879,0.0932
Q8WXG9,Cytoplasmic,3,152,0.781
P11362,Extracellular/Lumenal,0,355,0.1735
P11362,Cytoplasmic,0,425,0.1748
P40967,Extracellular/Lumenal,0,126,0.1148
P07766,Extracellular/Lumenal,0,104,0.2007
P20963,Cytoplasmic,0,113,0.9859
P04626,Extracellular/Lumenal,0,630,0.0948
P04626,Cytoplasmic,0,580,0.2757
O75460,Extracellular/Lumenal,0,425,0.1057
O75460,Cytoplasmic,0,513,0.1101
P35968,Extracellular/Lumenal,0,745,0.0929
P35968,Cytoplasmic,0,571,0.3997
Q12879,Extracellular/Lumenal,0,534,0.0948
Q12879,Extracellular/Lumenal,1,168,0.0889
Q12879,Cytoplasmic,2,629,0.5098
Q86WV6,Cytoplasmic,2,245,0.3976
P07949,Extracellular/Lumenal,0,607,0.1
P07949,Cytoplasmic,0,457,0.1202
P08908,Cytoplasmic,2,130,0.2049
P01857,Extracellular/Lumenal,0,330,0.3486
Q7Z3C6,Cytoplasmic,0,60,0.3836
Q7Z3C6,Cytoplasmic,1,136,0.0938
Q7Z3C6,Cytoplasmic,5,3,0.0743
Q7Z3C6,Cytoplasmic,6,347,0.4117
O75581,Extracellular/Lumenal,0,1351,0.0908
O75581,Cytoplasmic,0,220,0.7289
P63027,Cytoplasmic,0,93,0.994
P63027,Extracellular/Lumenal,0,2,0.188
Q04671,Cytoplasmic,0,179,0.6558
Q04671,Extracellular/Lumenal,0,133,0.1028
Q04671,Extracellular/Lumenal,2,73,0.0888
Q04671,Cytoplasmic,3,90,0.0939
Q04671,Cytoplasmic,6,4,0.1397
Q14BN4,Cytoplasmic,0,802,0.6004
P15529,Extracellular/Lumenal,0,309,0.1167
Q8TEM1,Extracellular/Lumenal,0,1782,0.0936
Q8TEM1,Cytoplasmic,0,58,0.9895
P00533,Extracellular/Lumenal,0,621,0.0954
P00533,Cytoplasmic,0,542,0.139
P21802,Extracellular/Lumenal,0,356,0.1013
P21802,Cytoplasmic,0,423,0.1759
P08247,Extracellular/Lumenal,0,57,0.1054
P08247,Cytoplasmic,2,90,0.9933
Q14739,Extracellular/Lumenal,0,211,0.7897
P29317,Extracellular/Lumenal,0,514,0.1302
P29317,Cytoplasmic,0,418,0.1001
P17948,Extracellular/Lumenal,0,732,0.0955
P17948,Cytoplasmic,0,558,0.1705
P05556,Extracellular/Lumenal,0,708,0.1072
P10747,Extracellular/Lumenal,0,134,0.1073
Q16635,Extracellular/Lumenal,1,227,0.1008
P61073,Cytoplasmic,3,50,0.9884
Q15303,Extracellular/Lumenal,0,626,0.0956
Q15303,Cytoplasmic,0,633,0.2437
O00254,Extracellular/Lumenal,0,56,0.1232
Q9Y624,Extracellular/Lumenal,0,211,0.1102
P31645,Cytoplasmic,0,87,0.8668
P31645,Extracellular/Lumenal,0,3,0.0248
P31645,Extracellular/Lumenal,1,66,0.0953
P49146,Cytoplasmic,3,55,0.2878
P15954,Extracellular/Lumenal,1,3,0.0248
P13569,Cytoplasmic,0,77,0.4843
P13569,Cytoplasmic,1,49,0.1301
P13569,Cytoplasmic,2,55,0.0951
P13569,Cytoplasmic,3,500,0.1028
P13569,Cytoplasmic,4,51,0.0965
P13569,Extracellular/Lumenal,4,2,0.073
P13569,Cytoplasmic,5,61,0.1125
P13569,Cytoplasmic,6,329,0.1029
Q03135,Cytoplasmic,0,103,0.2778
Q03135,Cytoplasmic,1,53,0.1328
