UniProt_ID,Protein_Name,Gene_Names,Organism,Source_DB,LLPSDB_designed,LLPS_mode,evidence_in_vitro,evidence_in_vivo,role,MLO_Types,is_membrane,TMD_count,TMD_class,Length
O00254,Proteinase-activated receptor 3,F2RL2 PAR3,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,True,7,multi,374.0
O14763,Tumor necrosis factor receptor superfamily member 10B,TNFRSF10B DR5 KILLER TRAILR2 TRICK2 ZTNFR9,Homo sapiens,PhasePDB,False,both,False,False,both,,True,1,single,440.0
O43561,Linker for activation of T-cells family member 1,LAT,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,Receptor cluster,True,1,single,262.0
O60500,Nephrin,NPHS1 NPHN,Homo sapiens,LLPSDB+PhasePDB,False,autonomous,False,False,client,Receptor cluster,True,1,single,1241.0
O60733,85/88 kDa calcium-independent phospholipase A2,PLA2G6 PLPLA9,Homo sapiens,PhasePDB,False,both,False,False,both,,True,2,multi,806.0
O75445,Usherin,USH2A,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,,True,1,single,5202.0
O75460,Serine/threonine-protein kinase/endoribonuclease IRE1,ERN1 IRE1,Homo sapiens,PhasePDB,False,both,True,True,driver,Stress granule,True,1,single,977.0
O75581,Low-density lipoprotein receptor-related protein 6,LRP6,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Wnt signalodroplet,True,1,single,1613.0
P00533,Epidermal growth factor receptor,EGFR ERBB ERBB1 HER1,Homo sapiens,PhasePDB,False,both,False,False,both,,True,1,single,1210.0
P01857,Immunoglobulin heavy constant gamma 1,IGHG1,Homo sapiens,PhasePDB,False,unclear,True,False,unclear,,True,1,single,330.0
P04626,Receptor tyrosine-protein kinase erbB-2,ERBB2 HER2 MLN19 NEU NGL,Homo sapiens,PhasePDB,False,partner_dependent,True,False,unclear,,True,1,single,1255.0
P05067,Amyloid-beta precursor protein,APP A4 AD1,Homo sapiens,LLPSDB+PhasePDB,False,both,False,False,driver,,True,1,single,770.0
P05556,Integrin beta-1,ITGB1 FNRB MDF2 MSK12,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,True,1,single,798.0
P07766,T-cell surface glycoprotein CD3 epsilon chain,CD3E T3E,Homo sapiens,PhasePDB,False,both,False,False,unclear,,True,1,single,207.0
P07949,Proto-oncogene tyrosine-protein kinase receptor Ret,RET CDHF12 CDHR16 PTC,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,,True,1,single,1114.0
P08172,Muscarinic acetylcholine receptor M2,CHRM2,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,,True,7,multi,466.0
P08247,Synaptophysin,SYP,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,True,4,multi,313.0
P08908,5-hydroxytryptamine receptor 1A;5-HT-1A;5-HT1A;G-21;Serotonin receptor 1A,HTR1A;ADRB2RL1;ADRBRL1,Homo sapiens,LLPSDB,False,unclear,False,False,unclear,Cell membrane;Multi-pass membrane protein.,True,7,multi,422.0
P10747,T-cell-specific surface glycoprotein CD28,CD28,Homo sapiens,PhasePDB,False,partner_dependent,True,False,unclear,,True,1,single,220.0
P11362,Fibroblast growth factor receptor 1,FGFR1 BFGFR CEK FGFBR FLG FLT2 HBGFR,Homo sapiens,PhasePDB,False,partner_dependent,True,False,unclear,,True,1,single,822.0
