UniProt_ID,approach,region,seg_idx,score
P15941,segment,Cytoplasmic,0.0,0.5772925
Q7Z434,segment,Cytoplasmic,0.0,0.21867576
Q9BR39,segment,Cytoplasmic,0.0,0.85105914
O43561,segment,Cytoplasmic,0.0,0.14469683
P31431,segment,Cytoplasmic,0.0,0.11207194
O75445,segment,Cytoplasmic,0.0,0.096761525
Q9UM73,segment,Cytoplasmic,0.0,0.87935144
Q9H461,segment,Cytoplasmic,0.0,0.023912046
Q9H461,segment,Cytoplasmic,1.0,0.05146165
Q9H461,segment,Cytoplasmic,2.0,0.060430117
Q9H461,segment,Cytoplasmic,3.0,0.5982632
O14763,segment,Cytoplasmic,0.0,0.11180703
P46531,segment,Cytoplasmic,0.0,0.9353715
Q8N114,segment,Cytoplasmic,0.0,0.6063592
Q07065,segment,Cytoplasmic,0.0,0.86741954
P08172,segment,Cytoplasmic,0.0,0.024573883
P08172,segment,Cytoplasmic,1.0,0.034075886
P08172,segment,Cytoplasmic,2.0,0.5566983
P08172,segment,Cytoplasmic,3.0,0.0752031
Q08345,segment,Cytoplasmic,0.0,0.74263847
O60500,segment,Cytoplasmic,0.0,0.11631561
P05067,segment,Cytoplasmic,0.0,0.079322875
Q8WXG9,segment,Cytoplasmic,0.0,0.029003503
Q8WXG9,segment,Cytoplasmic,1.0,0.045355696
Q8WXG9,segment,Cytoplasmic,2.0,0.03588185
Q8WXG9,segment,Cytoplasmic,3.0,0.29322538
P11362,segment,Cytoplasmic,0.0,0.969355
P40967,segment,Cytoplasmic,0.0,0.037276376
P07766,segment,Cytoplasmic,0.0,0.5358921
P20963,segment,Cytoplasmic,0.0,0.568967
P04626,segment,Cytoplasmic,0.0,0.7349851
O75460,segment,Cytoplasmic,0.0,0.6005608
P35968,segment,Cytoplasmic,0.0,0.57316643
Q12879,segment,Cytoplasmic,0.0,0.059144154
Q12879,segment,Cytoplasmic,1.0,0.043870583
Q12879,segment,Cytoplasmic,2.0,0.18109003
Q86WV6,segment,Cytoplasmic,0.0,0.06270036
Q86WV6,segment,Cytoplasmic,1.0,0.14745526
Q86WV6,segment,Cytoplasmic,2.0,0.08155058
P07949,segment,Cytoplasmic,0.0,0.9411933
P08908,segment,Cytoplasmic,0.0,0.024233086
P08908,segment,Cytoplasmic,1.0,0.05390165
P08908,segment,Cytoplasmic,2.0,0.23235606
P08908,segment,Cytoplasmic,3.0,0.03504554
Q7Z3C6,segment,Cytoplasmic,0.0,0.020284982
Q7Z3C6,segment,Cytoplasmic,1.0,0.06806936
Q7Z3C6,segment,Cytoplasmic,2.0,0.019438881
Q7Z3C6,segment,Cytoplasmic,3.0,0.04356538
Q7Z3C6,segment,Cytoplasmic,4.0,0.04529513
Q7Z3C6,segment,Cytoplasmic,5.0,0.017945878
Q7Z3C6,segment,Cytoplasmic,6.0,0.14109002
O75581,segment,Cytoplasmic,0.0,0.36232457
P63027,segment,Cytoplasmic,0.0,0.9160238
Q04671,segment,Cytoplasmic,0.0,0.06615987
Q04671,segment,Cytoplasmic,1.0,0.02085853
Q04671,segment,Cytoplasmic,2.0,0.027968016
Q04671,segment,Cytoplasmic,3.0,0.12916549
Q04671,segment,Cytoplasmic,4.0,0.020131482
Q04671,segment,Cytoplasmic,5.0,0.02240013
Q04671,segment,Cytoplasmic,6.0,0.041870628
Q14BN4,segment,Cytoplasmic,0.0,0.7805875
P15529,segment,Cytoplasmic,0.0,0.050280396
Q8TEM1,segment,Cytoplasmic,0.0,0.40446153
P00533,segment,Cytoplasmic,0.0,0.8767903
P21802,segment,Cytoplasmic,0.0,0.9739968
P08247,segment,Cytoplasmic,0.0,0.032777913
P08247,segment,Cytoplasmic,1.0,0.03090983
P08247,segment,Cytoplasmic,2.0,0.8884073
P29317,segment,Cytoplasmic,0.0,0.981518
P17948,segment,Cytoplasmic,0.0,0.65828997
P05556,segment,Cytoplasmic,0.0,0.10073704
P10747,segment,Cytoplasmic,0.0,0.43164137
P61073,segment,Cytoplasmic,0.0,0.044798374
P61073,segment,Cytoplasmic,1.0,0.22405638
P61073,segment,Cytoplasmic,2.0,0.05779886
P61073,segment,Cytoplasmic,3.0,0.05026549
Q15303,segment,Cytoplasmic,0.0,0.9258467
O00254,segment,Cytoplasmic,0.0,0.02399832
O00254,segment,Cytoplasmic,1.0,0.03564518
O00254,segment,Cytoplasmic,2.0,0.028712863
O00254,segment,Cytoplasmic,3.0,0.06339456
Q9Y624,segment,Cytoplasmic,0.0,0.07230883
P31645,segment,Cytoplasmic,0.0,0.122723304
P31645,segment,Cytoplasmic,1.0,0.019624587
P31645,segment,Cytoplasmic,2.0,0.01964095
P31645,segment,Cytoplasmic,3.0,0.029899621
P31645,segment,Cytoplasmic,4.0,0.033416748
P31645,segment,Cytoplasmic,5.0,0.04584394
P31645,segment,Cytoplasmic,6.0,0.034177314
P49146,segment,Cytoplasmic,0.0,0.024093358
P49146,segment,Cytoplasmic,1.0,0.02607692
P49146,segment,Cytoplasmic,2.0,0.11097245
P49146,segment,Cytoplasmic,3.0,0.050759193
P13569,segment,Cytoplasmic,0.0,0.022088438
P13569,segment,Cytoplasmic,1.0,0.02663904
