UniProt_ID,approach,region,seg_idx,score
O00254,concatenated,Cytoplasmic,,0.1343
O14763,concatenated,Cytoplasmic,,0.258
O43561,concatenated,Cytoplasmic,,0.9887
O60500,concatenated,Cytoplasmic,,0.7994
O75445,concatenated,Cytoplasmic,,0.124
O75460,concatenated,Cytoplasmic,,0.1101
O75581,concatenated,Cytoplasmic,,0.7289
P00533,concatenated,Cytoplasmic,,0.139
P04626,concatenated,Cytoplasmic,,0.2757
P05067,concatenated,Cytoplasmic,,0.2044
P05556,concatenated,Cytoplasmic,,
P07766,concatenated,Cytoplasmic,,
P07949,concatenated,Cytoplasmic,,0.1202
P08172,concatenated,Cytoplasmic,,0.5564
P08247,concatenated,Cytoplasmic,,0.9639
P08908,concatenated,Cytoplasmic,,0.1939
P10747,concatenated,Cytoplasmic,,
P11362,concatenated,Cytoplasmic,,0.1748
P13569,concatenated,Cytoplasmic,,0.1299
P15529,concatenated,Cytoplasmic,,
P15941,concatenated,Cytoplasmic,,0.6441
P17948,concatenated,Cytoplasmic,,0.1705
P20963,concatenated,Cytoplasmic,,0.9859
P21802,concatenated,Cytoplasmic,,0.1759
P29317,concatenated,Cytoplasmic,,0.1001
P31431,concatenated,Cytoplasmic,,
P31645,concatenated,Cytoplasmic,,0.2867
P35968,concatenated,Cytoplasmic,,0.3997
P40967,concatenated,Cytoplasmic,,
P46531,concatenated,Cytoplasmic,,0.4358
P49146,concatenated,Cytoplasmic,,0.1504
P61073,concatenated,Cytoplasmic,,0.2594
P63027,concatenated,Cytoplasmic,,0.994
Q03135,concatenated,Cytoplasmic,,0.2113
Q04671,concatenated,Cytoplasmic,,0.2706
Q07065,concatenated,Cytoplasmic,,0.9926
Q08345,concatenated,Cytoplasmic,,0.1626
Q12879,concatenated,Cytoplasmic,,0.4962
Q14BN4,concatenated,Cytoplasmic,,0.6004
Q15303,concatenated,Cytoplasmic,,0.2437
Q7Z3C6,concatenated,Cytoplasmic,,0.1688
Q7Z434,concatenated,Cytoplasmic,,0.9947
Q86WV6,concatenated,Cytoplasmic,,0.4091
Q8N114,concatenated,Cytoplasmic,,0.9228
Q8TEM1,concatenated,Cytoplasmic,,0.9895
Q8WXG9,concatenated,Cytoplasmic,,0.5022
Q9BR39,concatenated,Cytoplasmic,,0.9499
Q9H461,concatenated,Cytoplasmic,,0.6125
Q9UM73,concatenated,Cytoplasmic,,0.2101
Q9Y624,concatenated,Cytoplasmic,,
O00254,concatenated,Extracellular/Lumenal,,0.0921
O14763,concatenated,Extracellular/Lumenal,,0.1709
O43561,concatenated,Extracellular/Lumenal,,0.232
O60500,concatenated,Extracellular/Lumenal,,0.1018
O75445,concatenated,Extracellular/Lumenal,,0.0935
O75460,concatenated,Extracellular/Lumenal,,0.1057
O75581,concatenated,Extracellular/Lumenal,,0.0908
P00533,concatenated,Extracellular/Lumenal,,0.0954
P01857,concatenated,Extracellular/Lumenal,,0.3486
P04626,concatenated,Extracellular/Lumenal,,0.0948
P05067,concatenated,Extracellular/Lumenal,,0.1887
P05556,concatenated,Extracellular/Lumenal,,0.1072
P07766,concatenated,Extracellular/Lumenal,,0.2007
P07949,concatenated,Extracellular/Lumenal,,0.1
P08172,concatenated,Extracellular/Lumenal,,0.1245
P08247,concatenated,Extracellular/Lumenal,,0.1034
P08908,concatenated,Extracellular/Lumenal,,0.2259
P10747,concatenated,Extracellular/Lumenal,,0.1073
P11362,concatenated,Extracellular/Lumenal,,0.1735
P13569,concatenated,Extracellular/Lumenal,,0.1005
P15529,concatenated,Extracellular/Lumenal,,0.1167
P15941,concatenated,Extracellular/Lumenal,,0.9987
P15954,concatenated,Extracellular/Lumenal,,
P17948,concatenated,Extracellular/Lumenal,,0.0955
P20963,concatenated,Extracellular/Lumenal,,
P21802,concatenated,Extracellular/Lumenal,,0.1013
P29317,concatenated,Extracellular/Lumenal,,0.1302
P31431,concatenated,Extracellular/Lumenal,,0.9798
P31645,concatenated,Extracellular/Lumenal,,0.0894
P35968,concatenated,Extracellular/Lumenal,,0.0929
P40967,concatenated,Extracellular/Lumenal,,0.1148
P46531,concatenated,Extracellular/Lumenal,,0.1047
P49146,concatenated,Extracellular/Lumenal,,0.5788
P61073,concatenated,Extracellular/Lumenal,,0.124
P63027,concatenated,Extracellular/Lumenal,,0.188
Q04671,concatenated,Extracellular/Lumenal,,0.0962
Q07065,concatenated,Extracellular/Lumenal,,0.9913
Q08345,concatenated,Extracellular/Lumenal,,0.1104
Q12879,concatenated,Extracellular/Lumenal,,0.0921
Q14739,concatenated,Extracellular/Lumenal,,0.7897
Q14BN4,concatenated,Extracellular/Lumenal,,
Q15303,concatenated,Extracellular/Lumenal,,0.0956
Q16635,concatenated,Extracellular/Lumenal,,
Q7Z3C6,concatenated,Extracellular/Lumenal,,0.1035
Q7Z434,concatenated,Extracellular/Lumenal,,
Q86WV6,concatenated,Extracellular/Lumenal,,
Q8N114,concatenated,Extracellular/Lumenal,,0.1363
Q8TEM1,concatenated,Extracellular/Lumenal,,0.0936
Q8WXG9,concatenated,Extracellular/Lumenal,,0.0931
Q9H461,concatenated,Extracellular/Lumenal,,0.1583
Q9UM73,concatenated,Extracellular/Lumenal,,0.1005
Q9Y624,concatenated,Extracellular/Lumenal,,0.1102
O00254,concatenated,Transmembrane,,0.123
O14763,concatenated,Transmembrane,,
O43561,concatenated,Transmembrane,,
O60500,concatenated,Transmembrane,,
O60733,concatenated,Transmembrane,,
O75445,concatenated,Transmembrane,,
O75460,concatenated,Transmembrane,,
O75581,concatenated,Transmembrane,,
P00533,concatenated,Transmembrane,,
P04626,concatenated,Transmembrane,,
P05067,concatenated,Transmembrane,,
P05556,concatenated,Transmembrane,,
P07766,concatenated,Transmembrane,,
P07949,concatenated,Transmembrane,,
P08172,concatenated,Transmembrane,,0.1928
P08247,concatenated,Transmembrane,,0.166
P08908,concatenated,Transmembrane,,0.1587
P10747,concatenated,Transmembrane,,
P11362,concatenated,Transmembrane,,
P13569,concatenated,Transmembrane,,0.1206
P15529,concatenated,Transmembrane,,
P15941,concatenated,Transmembrane,,
P15954,concatenated,Transmembrane,,
P17948,concatenated,Transmembrane,,
P20963,concatenated,Transmembrane,,
P21802,concatenated,Transmembrane,,
P29317,concatenated,Transmembrane,,
P31431,concatenated,Transmembrane,,
P31645,concatenated,Transmembrane,,0.1146
P35968,concatenated,Transmembrane,,
P40967,concatenated,Transmembrane,,
P46531,concatenated,Transmembrane,,
P49146,concatenated,Transmembrane,,0.1134
P61073,concatenated,Transmembrane,,0.1216
P63027,concatenated,Transmembrane,,
Q04671,concatenated,Transmembrane,,0.1585
Q07065,concatenated,Transmembrane,,
Q08345,concatenated,Transmembrane,,
Q12879,concatenated,Transmembrane,,0.1513
Q13021,concatenated,Transmembrane,,0.2033
Q14739,concatenated,Transmembrane,,0.117
Q14BN4,concatenated,Transmembrane,,
Q15303,concatenated,Transmembrane,,
Q7Z3C6,concatenated,Transmembrane,,0.1339
Q7Z434,concatenated,Transmembrane,,
Q86WV6,concatenated,Transmembrane,,0.1595
Q8N114,concatenated,Transmembrane,,
Q8NC56,concatenated,Transmembrane,,
Q8TEM1,concatenated,Transmembrane,,
Q8WXG9,concatenated,Transmembrane,,0.1367
Q9BR39,concatenated,Transmembrane,,
Q9BRQ8,concatenated,Transmembrane,,
Q9H3U5,concatenated,Transmembrane,,0.1146
Q9H461,concatenated,Transmembrane,,0.1476
Q9UJA2,concatenated,Transmembrane,,0.1496
Q9UM73,concatenated,Transmembrane,,
Q9Y624,concatenated,Transmembrane,,
O00254,segment,Cytoplasmic,0.0,
O00254,segment,Cytoplasmic,1.0,
O00254,segment,Cytoplasmic,2.0,
O00254,segment,Cytoplasmic,3.0,
O14763,segment,Cytoplasmic,0.0,0.258
O43561,segment,Cytoplasmic,0.0,0.9887
O60500,segment,Cytoplasmic,0.0,0.7994
O75445,segment,Cytoplasmic,0.0,0.124
O75460,segment,Cytoplasmic,0.0,0.1101
O75581,segment,Cytoplasmic,0.0,0.7289
P00533,segment,Cytoplasmic,0.0,0.139
P04626,segment,Cytoplasmic,0.0,0.2757
P05067,segment,Cytoplasmic,0.0,0.2044
P05556,segment,Cytoplasmic,0.0,
P07766,segment,Cytoplasmic,0.0,
P07949,segment,Cytoplasmic,0.0,0.1202
P08172,segment,Cytoplasmic,0.0,
P08172,segment,Cytoplasmic,1.0,
P08172,segment,Cytoplasmic,2.0,0.5899
P08172,segment,Cytoplasmic,3.0,
P08247,segment,Cytoplasmic,0.0,
P08247,segment,Cytoplasmic,1.0,
P08247,segment,Cytoplasmic,2.0,0.9933
P08908,segment,Cytoplasmic,0.0,
P08908,segment,Cytoplasmic,1.0,
P08908,segment,Cytoplasmic,2.0,0.2049
P08908,segment,Cytoplasmic,3.0,
P10747,segment,Cytoplasmic,0.0,
P11362,segment,Cytoplasmic,0.0,0.1748
P13569,segment,Cytoplasmic,0.0,0.4843
