Rank,UniProt_ID,STRING_ID,Protein_Names,pLLPS_Score
1,Q12802,AKP13_HUMAN,A-kinase anchor protein 13 (AKAP-13) (AKAP-Lbc) (Breast cancer nuclear receptor-binding auxiliary protein) (Guanine nucleotide exchange factor Lbc) (Human thyroid-anchoring protein 31) (Lymphoid blast crisis oncogene) (LBC oncogene) (Non-oncogenic Rho GTPase-specific GTP exchange factor) (Protein kinase A-anchoring protein 13) (PRKA13) (p47),1.0
2,Q6PRD1,GP179_HUMAN,Probable G-protein coupled receptor 179 (Probable G-protein coupled receptor 158-like 1) (GPR158-like),1.0
3,Q8IZF6,AGRG4_HUMAN,Adhesion G-protein coupled receptor G4 (G-protein coupled receptor 112),1.0
4,Q96SB3,NEB2_HUMAN,Neurabin-2 (Neurabin-II) (Protein phosphatase 1 regulatory subunit 9B) (Spinophilin),1.0
5,O15240,VGF_HUMAN,Neurosecretory protein VGF [Cleaved into: Neuroendocrine regulatory peptide-1 (NERP-1); Neuroendocrine regulatory peptide-2 (NERP-2); VGF-derived peptide TLQP-21; VGF-derived peptide TLQP-62; Antimicrobial peptide VGF[554-577]],1.0
6,Q5JY77,GASP1_HUMAN,G-protein coupled receptor-associated sorting protein 1 (GASP-1),1.0
7,Q9UHD9,UBQL2_HUMAN,Ubiquilin-2 (Chap1) (DSK2 homolog) (Protein linking IAP with cytoskeleton 2) (PLIC-2) (hPLIC-2) (Ubiquitin-like product Chap1/Dsk2),1.0
8,P14317,HCLS1_HUMAN,Hematopoietic lineage cell-specific protein (Hematopoietic cell-specific LYN substrate 1) (LckBP1) (p75),1.0
9,Q96PE1,AGRA2_HUMAN,Adhesion G protein-coupled receptor A2 (G-protein coupled receptor 124) (Tumor endothelial marker 5),1.0
10,O14924,RGS12_HUMAN,Regulator of G-protein signaling 12 (RGS12),1.0
11,P22681,CBL_HUMAN,E3 ubiquitin-protein ligase CBL (EC 2.3.2.27) (Casitas B-lineage lymphoma proto-oncogene) (Proto-oncogene c-Cbl) (RING finger protein 55) (RING-type E3 ubiquitin transferase CBL) (Signal transduction protein CBL),1.0
12,Q5T848,GP158_HUMAN,Probable G-protein coupled receptor 158,0.99
13,Q96D09,GASP2_HUMAN,G-protein coupled receptor-associated sorting protein 2 (GASP-2),0.99
14,O60241,AGRB2_HUMAN,Adhesion G protein-coupled receptor B2 (Brain-specific angiogenesis inhibitor 2),0.99
15,O43566,RGS14_HUMAN,Regulator of G-protein signaling 14 (RGS14),0.98
16,P26583,HMGB2_HUMAN,High mobility group protein B2 (High mobility group protein 2) (HMG-2),0.98
17,Q9NZ52,GGA3_HUMAN,"ADP-ribosylation factor-binding protein GGA3 (Golgi-localized, gamma ear-containing, ARF-binding protein 3)",0.97
18,O14514,AGRB1_HUMAN,Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1) [Cleaved into: Vasculostatin-40 (Vstat40); Vasculostatin-120 (Vstat120)],0.96
19,Q92538,GBF1_HUMAN,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 (BFA-resistant GEF 1),0.96
20,Q8NFN8,GP156_HUMAN,Probable G-protein coupled receptor 156 (G-protein coupled receptor PGR28) (GABAB-related G-protein coupled receptor),0.94
21,Q16538,GP162_HUMAN,Probable G-protein coupled receptor 162 (Gene-rich cluster gene A protein),0.94
22,Q9UJY5,GGA1_HUMAN,"ADP-ribosylation factor-binding protein GGA1 (Gamma-adaptin-related protein 1) (Golgi-localized, gamma ear-containing, ARF-binding protein 1)",0.93
23,Q6NV75,GP153_HUMAN,Probable G-protein coupled receptor 153 (G-protein coupled receptor PGR1),0.9
24,Q6MZT1,R7BP_HUMAN,Regulator of G-protein signaling 7-binding protein (R7 family-binding protein),0.88
25,Q86SQ6,AGRA1_HUMAN,Adhesion G protein-coupled receptor A1 (G-protein coupled receptor 123),0.87
26,O94910,AGRL1_HUMAN,Adhesion G protein-coupled receptor L1 (Calcium-independent alpha-latrotoxin receptor 1) (CIRL-1) (Latrophilin-1) (Lectomedin-2),0.85
27,Q8NGU9,GP150_HUMAN,Probable G-protein coupled receptor 150,0.83
28,O95490,AGRL2_HUMAN,Adhesion G protein-coupled receptor L2 (Calcium-independent alpha-latrotoxin receptor 2) (CIRL-2) (Latrophilin homolog 1) (Latrophilin-2) (Lectomedin-1),0.79
29,Q9HAR2,AGRL3_HUMAN,Adhesion G protein-coupled receptor L3 (Calcium-independent alpha-latrotoxin receptor 3) (CIRL-3) (Latrophilin-3) (Lectomedin-3),0.77
30,Q9BZJ7,GPR62_HUMAN,G-protein coupled receptor 62 (G-protein coupled receptor GPCR8) (hGPCR8) (G-protein coupled receptor KPG_005),0.76
31,Q96P66,GP101_HUMAN,Probable G-protein coupled receptor 101,0.76
32,Q8IZ08,GP135_HUMAN,G-protein coupled receptor 135,0.76
33,O43665,RGS10_HUMAN,Regulator of G-protein signaling 10 (RGS10),0.74
34,Q8WXG9,AGRV1_HUMAN,Adhesion G-protein coupled receptor V1 (ADGRV1) (EC 3.4.-.-) (G-protein coupled receptor 98) (Monogenic audiogenic seizure susceptibility protein 1 homolog) (Usher syndrome type-2C protein) (Very large G-protein coupled receptor 1) [Cleaved into: ADGRV1 subunit alpha; ADGRV1 subunit beta],0.74
35,Q86SP6,GP149_HUMAN,Probable G-protein coupled receptor 149 (G-protein coupled receptor PGR10),0.74
36,Q9UJY4,GGA2_HUMAN,"ADP-ribosylation factor-binding protein GGA2 (Gamma-adaptin-related protein 2) (Golgi-localized, gamma ear-containing, ARF-binding protein 2) (VHS domain and ear domain of gamma-adaptin) (Vear)",0.73
37,Q99835,SMO_HUMAN,Smoothened homolog (SMO) (Protein Gx),0.7
38,Q86YR5,GPSM1_HUMAN,G-protein-signaling modulator 1 (Activator of G-protein signaling 3),0.69
39,Q9H228,S1PR5_HUMAN,Sphingosine 1-phosphate receptor 5 (S1P receptor 5) (S1P5) (Endothelial differentiation G-protein-coupled receptor 8) (Sphingosine 1-phosphate receptor Edg-8) (S1P receptor Edg-8),0.69
40,Q05397,FAK1_HUMAN,Focal adhesion kinase 1 (FADK 1) (EC 2.7.10.2) (Focal adhesion kinase-related nonkinase) (FRNK) (Protein phosphatase 1 regulatory subunit 71) (PPP1R71) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK),0.64
41,O00602,FCN1_HUMAN,Ficolin-1 (Collagen/fibrinogen domain-containing protein 1) (Ficolin-A) (Ficolin-alpha) (M-ficolin),0.64
42,P78324,SHPS1_HUMAN,Tyrosine-protein phosphatase non-receptor type substrate 1 (SHP substrate 1) (SHPS-1) (Brain Ig-like molecule with tyrosine-based activation motifs) (Bit) (CD172 antigen-like family member A) (Inhibitory receptor SHPS-1) (Macrophage fusion receptor) (MyD-1 antigen) (Signal-regulatory protein alpha-1) (Sirp-alpha-1) (Signal-regulatory protein alpha-2) (Sirp-alpha-2) (Signal-regulatory protein alpha-3) (Sirp-alpha-3) (p84) (CD antigen CD172a),0.63
43,O60242,AGRB3_HUMAN,Adhesion G protein-coupled receptor B3 (Brain-specific angiogenesis inhibitor 3),0.63
44,O95800,GPR75_HUMAN,Probable G-protein coupled receptor 75,0.61
45,P41220,RGS2_HUMAN,Regulator of G-protein signaling 2 (RGS2) (Cell growth-inhibiting gene 31 protein) (G0/G1 switch regulatory protein 8),0.61
46,O43194,GPR39_HUMAN,G-protein coupled receptor 39,0.59
47,P13747,HLAE_HUMAN,"HLA class I histocompatibility antigen, alpha chain E (MHC class I antigen E) [Cleaved into: Soluble HLA class I histocompatibility antigen, alpha chain E (sHLA-E)]",0.58
48,Q8IZP9,AGRG2_HUMAN,Adhesion G-protein coupled receptor G2 (G-protein coupled receptor 64) (Human epididymis-specific protein 6) (He6),0.57
49,P41180,CASR_HUMAN,Extracellular calcium-sensing receptor (CaR) (CaSR) (hCasR) (Parathyroid cell calcium-sensing receptor 1) (PCaR1),0.57
50,P51810,GP143_HUMAN,G-protein coupled receptor 143 (Ocular albinism type 1 protein),0.57
