Rank,UniProt_ID,STRING_ID,Protein_Names,pLLPS_Score
1,Q9Y4H2,IRS2_HUMAN,Insulin receptor substrate 2 (IRS-2),1.0
2,Q8N3K9,CMYA5_HUMAN,Cardiomyopathy-associated protein 5 (Dystrobrevin-binding protein 2) (Genethonin-3) (Myospryn) (SPRY domain-containing protein 2) (Tripartite motif-containing protein 76),1.0
3,Q6ZRS2,SRCAP_HUMAN,Helicase SRCAP (EC 3.6.4.-) (Domino homolog 2) (Snf2-related CBP activator),1.0
4,Q5T1R4,ZEP3_HUMAN,Transcription factor HIVEP3 (Human immunodeficiency virus type I enhancer-binding protein 3) (Kappa-B and V(D)J recombination signal sequences-binding protein) (Kappa-binding protein 1) (KBP-1) (Zinc finger protein ZAS3),1.0
5,Q15911,ZFHX3_HUMAN,Zinc finger homeobox protein 3 (AT motif-binding factor 1) (AT-binding transcription factor 1) (Alpha-fetoprotein enhancer-binding protein) (Zinc finger homeodomain protein 3) (ZFH-3),1.0
6,Q12802,AKP13_HUMAN,A-kinase anchor protein 13 (AKAP-13) (AKAP-Lbc) (Breast cancer nuclear receptor-binding auxiliary protein) (Guanine nucleotide exchange factor Lbc) (Human thyroid-anchoring protein 31) (Lymphoid blast crisis oncogene) (LBC oncogene) (Non-oncogenic Rho GTPase-specific GTP exchange factor) (Protein kinase A-anchoring protein 13) (PRKA13) (p47),1.0
7,P35658,NU214_HUMAN,Nuclear pore complex protein Nup214 (214 kDa nucleoporin) (Nucleoporin Nup214) (Protein CAN),1.0
8,O75376,NCOR1_HUMAN,Nuclear receptor corepressor 1 (N-CoR) (N-CoR1),1.0
9,O14686,KMT2D_HUMAN,Histone-lysine N-methyltransferase 2D (Lysine N-methyltransferase 2D) (EC 2.1.1.354) (ALL1-related protein) (Myeloid/lymphoid or mixed-lineage leukemia protein 2),1.0
10,Q9Y618,NCOR2_HUMAN,"Nuclear receptor corepressor 2 (N-CoR2) (CTG repeat protein 26) (SMAP270) (Silencing mediator of retinoic acid and thyroid hormone receptor) (SMRT) (T3 receptor-associating factor) (TRAC) (Thyroid-, retinoic-acid-receptor-associated corepressor)",1.0
11,Q99102,MUC4_HUMAN,Mucin-4 (MUC-4) (Ascites sialoglycoprotein) (ASGP) (Pancreatic adenocarcinoma mucin) (Testis mucin) (Tracheobronchial mucin) [Cleaved into: Mucin-4 alpha chain (Ascites sialoglycoprotein 1) (ASGP-1); Mucin-4 beta chain (Ascites sialoglycoprotein 2) (ASGP-2)],1.0
12,P35568,IRS1_HUMAN,Insulin receptor substrate 1 (IRS-1),1.0
13,Q7Z591,AKNA_HUMAN,Microtubule organization protein AKNA (AT-hook-containing transcription factor),1.0
14,Q6UB99,ANR11_HUMAN,Ankyrin repeat domain-containing protein 11 (Ankyrin repeat-containing cofactor 1),1.0
15,P15822,ZEP1_HUMAN,Zinc finger protein 40 (Cirhin interaction protein) (CIRIP) (Gate keeper of apoptosis-activating protein) (GAAP) (Human immunodeficiency virus type I enhancer-binding protein 1) (HIV-EP1) (Major histocompatibility complex-binding protein 1) (MBP-1) (Positive regulatory domain II-binding factor 1) (PRDII-BF1),1.0
16,Q6PRD1,GP179_HUMAN,Probable G-protein coupled receptor 179 (Probable G-protein coupled receptor 158-like 1) (GPR158-like),1.0
17,P31629,ZEP2_HUMAN,Transcription factor HIVEP2 (Human immunodeficiency virus type I enhancer-binding protein 2) (HIV-EP2) (MHC-binding protein 2) (MBP-2),1.0
18,Q9BYB0,SHAN3_HUMAN,SH3 and multiple ankyrin repeat domains protein 3 (Shank3) (Proline-rich synapse-associated protein 2) (ProSAP2),1.0
19,Q5VV67,PPRC1_HUMAN,Peroxisome proliferator-activated receptor gamma coactivator-related protein 1 (PGC-1-related coactivator) (PRC),1.0
20,O15534,PER1_HUMAN,Period circadian protein homolog 1 (hPER1) (Circadian clock protein PERIOD 1) (Circadian pacemaker protein Rigui),1.0
21,Q0VD83,APOBR_HUMAN,Apolipoprotein B receptor (Apolipoprotein B-100 receptor) (Apolipoprotein B-48 receptor) (Apolipoprotein B48 receptor) (apoB-48R),1.0
22,Q8IXJ9,ASXL1_HUMAN,Polycomb group protein ASXL1 (Additional sex combs-like protein 1),1.0
23,A7KAX9,RHG32_HUMAN,Rho GTPase-activating protein 32 (Brain-specific Rho GTPase-activating protein) (GAB-associated Cdc42/Rac GTPase-activating protein) (GC-GAP) (GTPase regulator interacting with TrkA) (Rho-type GTPase-activating protein 32) (Rho/Cdc42/Rac GTPase-activating protein RICS) (RhoGAP involved in the beta-catenin-N-cadherin and NMDA receptor signaling) (p200RhoGAP) (p250GAP),1.0
24,P39060,COIA1_HUMAN,Collagen alpha-1(XVIII) chain [Cleaved into: Endostatin; Non-collagenous domain 1 (NC1)],1.0
25,Q14686,NCOA6_HUMAN,"Nuclear receptor coactivator 6 (Activating signal cointegrator 2) (ASC-2) (Amplified in breast cancer protein 3) (Cancer-amplified transcriptional coactivator ASC-2) (Nuclear receptor coactivator RAP250) (NRC RAP250) (Nuclear receptor-activating protein, 250 kDa) (Peroxisome proliferator-activated receptor-interacting protein) (PPAR-interacting protein) (PRIP) (Thyroid hormone receptor-binding protein)",1.0
26,P15884,ITF2_HUMAN,Transcription factor 4 (TCF-4) (Class B basic helix-loop-helix protein 19) (bHLHb19) (Immunoglobulin transcription factor 2) (ITF-2) (SL3-3 enhancer factor 2) (SEF-2),1.0
27,A1L4H1,SRCRL_HUMAN,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D (Soluble scavenger protein with 5 SRCR domains) (SSc5D),1.0
28,Q01484,ANK2_HUMAN,Ankyrin-2 (ANK-2) (Ankyrin-B) (Brain ankyrin) (Non-erythroid ankyrin),1.0
29,Q76L83,ASXL2_HUMAN,Putative Polycomb group protein ASXL2 (Additional sex combs-like protein 2),1.0
30,O60641,AP180_HUMAN,Clathrin coat assembly protein AP180 (91 kDa synaptosomal-associated protein) (Clathrin coat-associated protein AP180) (Phosphoprotein F1-20),1.0
31,Q96PK6,RBM14_HUMAN,RNA-binding protein 14 (Paraspeckle protein 2) (PSP2) (RNA-binding motif protein 14) (RRM-containing coactivator activator/modulator) (Synaptotagmin-interacting protein) (SYT-interacting protein),1.0
32,Q9NRF2,SH2B1_HUMAN,"SH2B adapter protein 1 (Pro-rich, PH and SH2 domain-containing signaling mediator) (PSM) (SH2 domain-containing protein 1B)",1.0
33,P46379,BAG6_HUMAN,Large proline-rich protein BAG6 (BAG family molecular chaperone regulator 6) (BCL2-associated athanogene 6) (BAG-6) (HLA-B-associated transcript 3) (Protein G3) (Protein Scythe),1.0
34,Q9BX66,SRBS1_HUMAN,Sorbin and SH3 domain-containing protein 1 (Ponsin) (SH3 domain protein 5) (SH3P12) (c-Cbl-associated protein) (CAP),1.0
35,Q86SQ0,PHLB2_HUMAN,Pleckstrin homology-like domain family B member 2 (Protein LL5-beta),1.0
36,Q15596,NCOA2_HUMAN,Nuclear receptor coactivator 2 (NCoA-2) (Class E basic helix-loop-helix protein 75) (bHLHe75) (Transcriptional intermediary factor 2) (hTIF2),1.0
37,O95153,RIMB1_HUMAN,Peripheral-type benzodiazepine receptor-associated protein 1 (PRAX-1) (Peripheral benzodiazepine receptor-interacting protein) (PBR-IP) (RIMS-binding protein 1) (RIM-BP1) (TSPO-associated protein 1),1.0
38,O14654,IRS4_HUMAN,Insulin receptor substrate 4 (IRS-4) (160 kDa phosphotyrosine protein) (py160) (Phosphoprotein of 160 kDa) (pp160),1.0
39,Q9ULT6,ZNRF3_HUMAN,E3 ubiquitin-protein ligase ZNRF3 (EC 2.3.2.27) (RING finger protein 203) (RING-type E3 ubiquitin transferase ZNRF3) (Zinc/RING finger protein 3),1.0
40,Q6UB98,ANR12_HUMAN,Ankyrin repeat domain-containing protein 12 (Ankyrin repeat-containing cofactor 2) (GAC-1 protein),1.0
41,P16150,LEUK_HUMAN,Leukosialin (GPL115) (Galactoglycoprotein) (GALGP) (Leukocyte sialoglycoprotein) (Sialophorin) (CD antigen CD43) [Cleaved into: CD43 cytoplasmic tail (CD43-ct) (CD43ct)],1.0
42,Q14005,IL16_HUMAN,Pro-interleukin-16 [Cleaved into: Interleukin-16 (IL-16) (Lymphocyte chemoattractant factor) (LCF)],1.0
43,O75420,GGYF1_HUMAN,GRB10-interacting GYF protein 1 (PERQ amino acid-rich with GYF domain-containing protein 1),1.0
44,P98082,DAB2_HUMAN,Disabled homolog 2 (Adaptor molecule disabled-2) (Differentially expressed in ovarian carcinoma 2) (DOC-2) (Differentially-expressed protein 2),1.0
45,Q9Y6Q9,NCOA3_HUMAN,Nuclear receptor coactivator 3 (NCoA-3) (EC 2.3.1.48) (ACTR) (Amplified in breast cancer 1 protein) (AIB-1) (CBP-interacting protein) (pCIP) (Class E basic helix-loop-helix protein 42) (bHLHe42) (Receptor-associated coactivator 3) (RAC-3) (Steroid receptor coactivator protein 3) (SRC-3) (Thyroid hormone receptor activator molecule 1) (TRAM-1),1.0
46,Q6Y7W6,GGYF2_HUMAN,GRB10-interacting GYF protein 2 (PERQ amino acid-rich with GYF domain-containing protein 2) (Trinucleotide repeat-containing gene 15 protein),1.0
