UniProt_ID,PICNIC_score,PICNIC_GO_score,PSAP_score,PSPHunter_prob,PSPire_score,FuzDrop_pLLPS,catGRANULE_score,PLAAC_NLLR,PScore_score,ESpritz_score,SEG_score,SaPS_score,PdPS_score,DeepPhase_score,PDL_score,RY_score,ParSe2_score,LLPhyScore_score,TMD_count,is_membrane_protein,label_all,label_mem,label_mem_bg,label_mem_fixed,label_mem_singlepass_bg,label_mem_multipass_bg
P50914,0.9741134126,0.9784834295,0.009166667,0.782,0.6294166,0.32,-0.16262,-0.246,1.35,0.27906976744186046,0.46511627906976744,0.060722433030605316,0.3078154921531677,0.91,0.96167165,0.06976744186046512,0.0,-106.0,0,False,1,0,,,,
P62750,0.971865607,0.9789935067,0.005,0.893,0.9976136,0.62,-0.143834,-0.505,0.59,0.4807692307692308,0.1858974358974359,0.6331499218940735,0.9138290286064148,0.79,0.9864674,0.10256410256410256,0.0,-169.0,0,False,1,0,,,,
P62854,0.9712176987,0.9585360517,0.000833333,0.688,0.86115456,0.9,-0.596375,-0.469,,0.9391304347826087,0.2782608695652174,0.21832290291786194,0.6408076286315918,0.61,0.981356,0.16521739130434782,0.0,-168.0,0,False,0,0,,0,,
P47914,0.9700212002,0.9690950256,0.001666667,0.716,0.6728247,0.8,0.329225,-0.301,0.17,1.0,0.27044025157232704,0.6615025997161865,0.7091331481933594,0.92,0.9669086,0.1069182389937107,0.0,-57.0,0,False,0,0,,0,,
Q9NRF9,0.9646578324,0.8548076035000001,0.0075,0.396,0.8952955,0.88,-0.0604249,-0.421,1.13,0.6802721088435374,0.35374149659863946,0.6776947975158691,0.8377408981323242,0.98,0.76804626,0.08163265306122448,0.0,-8.0,0,False,0,0,,0,,
Q5JNZ5,0.9635420266,0.9534843039,0.0025,0.144,0.39882845,0.78,-0.953223,-0.504,,0.5565217391304348,0.1565217391304348,0.05037084221839905,0.312389999628067,0.28,0.9838446,0.14782608695652175,0.0,-169.0,0,False,0,0,,0,,
P46778,0.9633624942,0.9682896505,0.000833333,0.744,0.99452144,0.36,0.984898,-0.341,2.72,0.2625,0.0,0.7339221835136414,0.9404922723770142,0.55,0.9573668,0.125,0.1387728011546588,-90.0,0,False,0,0,,0,,
P83731,0.9631174028,0.9691620052,0.005833333,0.78,0.8803331,0.61,0.258035,-0.381,1.59,0.6369426751592356,0.2611464968152866,0.705818772315979,0.818872332572937,0.88,0.98361623,0.1337579617834395,0.0,-82.0,0,False,1,0,,,,
P25205,0.9626313113,0.9284628891,0.000833333,0.905,0.8988786,0.61,0.55998,-0.345,0.43,0.0,0.0594059405940594,0.8484005928039551,0.915157675743103,0.97,0.97293323,0.09900990099009901,37.72698633056228,-559.0,0,False,0,0,,0,,
Q6PD62,0.9615955415,0.7623437512,0.005,0.817,0.6547686,0.29,1.37117,-0.1,4.27,0.22932651321398123,0.20801364023870417,0.9001364707946777,0.9034227132797241,0.94,0.87452143,0.10059676044330776,70.93935171245067,-598.0,0,False,1,0,,,,
P18206,0.9615661497,0.8120054829000001,0.0025,0.869,0.9901783,0.41,0.446922,-0.232,0.5,0.0,0.09082892416225749,0.6949307918548584,0.8427553176879883,0.89,0.96941197,0.06701940035273368,18.637806975610097,-1129.0,0,False,1,0,,,,
O60841,0.9610664872,0.9564368635,0.0025,0.78,0.6197325,0.94,1.58372,-0.306,2.78,0.460655737704918,0.26229508196721313,0.7065973877906799,0.7441868782043457,0.88,0.96291375,0.05573770491803279,26.824200410511843,-120.0,0,False,0,0,,0,,
Q00341,0.960817952,0.9528175289,0.001666667,0.871,0.74973327,0.39,1.11372,-0.392,0.54,0.03391167192429022,0.044952681388012616,0.5276567339897156,0.8832939267158508,0.89,0.9848876,0.07334384858044164,30.55647017605655,-1093.0,0,False,0,0,,0,,
Q07955,0.960481657,0.9732640745,,0.923,0.99659127,0.95,2.37379,-0.127,4.04,0.2782258064516129,0.3911290322580645,0.8872339129447937,0.9587386846542358,0.89,0.9865067,0.23387096774193547,117.4598921208138,65.0,0,False,1,0,,,,
P61353,0.9587319011,0.9796813134,0.001666667,0.717,0.9964282,0.17,0.617154,-0.415,,0.014705882352941176,0.08823529411764706,0.517764687538147,0.7257438898086548,0.14,0.9814601,0.14705882352941177,8.782961676291539,-82.0,0,False,0,0,,0,,
Q9Y3A2,0.9579677443,0.9748945656,0.0,0.495,0.8840793,0.29,0.421635,-0.503,-0.94,0.17786561264822134,0.04743083003952569,0.7221896052360535,0.5373226404190063,0.75,0.041550662,0.12648221343873517,0.0,-238.0,0,False,0,0,,0,,
Q9NR30,0.9551248805,0.9696308583,0.016666667,0.944,0.9706044,0.45,1.50043,0.015,5.54,0.23499361430395913,0.1583652618135377,0.9343938827514648,0.8668771982192993,0.85,0.71609163,0.070242656449553,40.47525653025717,-174.0,0,False,1,0,,,,
Q9NTJ3,0.9548539793,0.874586356,0.000833333,0.801,0.85585463,0.45,1.04264,-0.201,0.39,0.039596273291925464,0.10326086956521739,0.519402265548706,0.8781777620315552,0.88,0.93487257,0.06909937888198758,29.26832396774357,-1351.0,0,False,0,0,,0,,
Q9BZE4,0.9546131407,0.9555402217,0.0,0.816,0.6394323,0.31,0.538417,-0.364,1.57,0.12618296529968454,0.11041009463722397,0.5504183173179626,0.828769862651825,0.87,0.89059985,0.11829652996845426,13.09638123321814,-714.0,0,False,0,0,,0,,
Q9H875,0.9544065618,0.988726308,0.004166667,0.424,0.17496756,0.99,0.29644,-0.379,0.34,1.0,0.34782608695652173,0.41689014434814453,0.6953925490379333,0.93,0.06852039,0.09782608695652174,7.089717253520829,-14.0,0,False,0,0,,0,,
Q02878,0.9536863588,0.9757495708,0.000833333,0.854,0.96497554,0.54,1.1264,-0.457,0.7,0.16319444444444445,0.17708333333333334,0.8315308690071106,0.805478572845459,0.84,0.9790029,0.1111111111111111,0.7391776494140374,-235.0,0,False,0,0,,0,,
Q14683,0.9535561538,0.9814546048,0.000833333,0.825,0.9580948,0.49,1.29766,-0.324,1.03,0.11597729115977291,0.08596918085969181,0.7280587553977966,0.855135440826416,0.83,0.978884,0.0867802108678021,17.814289107305818,-988.0,0,False,0,0,,0,,
P38646,0.9534323124,0.9807820243,0.008333333,0.928,0.98624516,0.41,1.11664,-0.237,0.59,0.07363770250368189,0.10456553755522828,0.7927659153938293,0.9252788424491882,0.93,0.982178,0.06921944035346098,32.05913858266711,-387.0,0,False,1,0,,,,
P62424,0.9532854911,0.960767453,0.0,0.822,0.9495803,0.31,0.380208,-0.339,0.05,0.10526315789473684,0.14661654135338345,0.3275553584098816,0.8168071508407593,0.15,0.9862898,0.10902255639097744,0.5753316256806597,-294.0,0,False,1,0,,,,
P26373,0.9530228036,0.9749554168,0.000833333,0.812,0.95980835,0.76,0.138868,-0.367,-0.12,0.16113744075829384,0.11374407582938388,0.5625842809677124,0.8776732683181763,0.82,0.97949183,0.16113744075829384,0.1728517862158745,-188.0,0,False,1,0,,,,
P11387,0.9528248847,0.9793790491,0.0025,0.826,0.8603104,0.39,1.33302,-0.276,0.71,0.23006535947712417,0.23398692810457516,0.7018611431121826,0.8555550575256348,0.88,0.97433394,0.08235294117647059,0.1542183796203724,-512.0,0,False,0,0,,0,,
