UniProt_ID,approach,region,seg_idx,raw_score,length,score_per_residue,tag
O00254,segment,Cytoplasmic,0.0,-22.0,8,-2.75,O00254|cyto|seg0
O00254,segment,Cytoplasmic,1.0,-43.0,17,-2.5294117647058822,O00254|cyto|seg1
O00254,segment,Cytoplasmic,2.0,-50.0,17,-2.9411764705882355,O00254|cyto|seg2
O00254,segment,Cytoplasmic,3.0,-24.0,13,-1.8461538461538463,O00254|cyto|seg3
O14763,segment,Cytoplasmic,0.0,-121.0,209,-0.5789473684210527,O14763|cyto|seg0
O43561,segment,Cytoplasmic,0.0,48.0,235,0.20425531914893616,O43561|cyto|seg0
O60500,segment,Cytoplasmic,0.0,18.0,166,0.10843373493975904,O60500|cyto|seg0
O75445,segment,Cytoplasmic,0.0,-49.0,139,-0.35251798561151076,O75445|cyto|seg0
O75460,segment,Cytoplasmic,0.0,-397.0,513,-0.7738791423001949,O75460|cyto|seg0
O75581,segment,Cytoplasmic,0.0,105.0,220,0.4772727272727273,O75581|cyto|seg0
P00533,segment,Cytoplasmic,0.0,-405.0,542,-0.7472324723247232,P00533|cyto|seg0
P04626,segment,Cytoplasmic,0.0,-299.0,580,-0.5155172413793103,P04626|cyto|seg0
P05067,segment,Cytoplasmic,0.0,7.0,48,0.14583333333333334,P05067|cyto|seg0
P05556,segment,Cytoplasmic,0.0,-39.0,47,-0.8297872340425532,P05556|cyto|seg0
P07766,segment,Cytoplasmic,0.0,32.0,55,0.5818181818181818,P07766|cyto|seg0
P07949,segment,Cytoplasmic,0.0,-342.0,457,-0.7483588621444202,P07949|cyto|seg0
P08172,segment,Cytoplasmic,0.0,-20.0,14,-1.4285714285714286,P08172|cyto|seg0
P08172,segment,Cytoplasmic,1.0,-37.0,21,-1.7619047619047619,P08172|cyto|seg1
P08172,segment,Cytoplasmic,2.0,97.0,180,0.5388888888888889,P08172|cyto|seg2
P08172,segment,Cytoplasmic,3.0,-43.0,24,-1.7916666666666667,P08172|cyto|seg3
P08247,segment,Cytoplasmic,0.0,-10.0,25,-0.4,P08247|cyto|seg0
P08247,segment,Cytoplasmic,1.0,1.0,7,0.14285714285714285,P08247|cyto|seg1
P08247,segment,Cytoplasmic,2.0,186.0,90,2.066666666666667,P08247|cyto|seg2
P08908,segment,Cytoplasmic,0.0,-9.0,14,-0.6428571428571429,P08908|cyto|seg0
P08908,segment,Cytoplasmic,1.0,-54.0,20,-2.7,P08908|cyto|seg1
P08908,segment,Cytoplasmic,2.0,-4.0,130,-0.03076923076923077,P08908|cyto|seg2
P08908,segment,Cytoplasmic,3.0,-12.0,19,-0.631578947368421,P08908|cyto|seg3
P10747,segment,Cytoplasmic,0.0,-25.0,41,-0.6097560975609756,P10747|cyto|seg0
P11362,segment,Cytoplasmic,0.0,-375.0,425,-0.8823529411764706,P11362|cyto|seg0
P13569,segment,Cytoplasmic,0.0,-78.0,77,-1.0129870129870129,P13569|cyto|seg0
P13569,segment,Cytoplasmic,1.0,-45.0,49,-0.9183673469387755,P13569|cyto|seg1
P13569,segment,Cytoplasmic,2.0,-24.0,55,-0.43636363636363634,P13569|cyto|seg2
P13569,segment,Cytoplasmic,3.0,-357.0,500,-0.714,P13569|cyto|seg3
P13569,segment,Cytoplasmic,4.0,-89.0,51,-1.7450980392156863,P13569|cyto|seg4
P13569,segment,Cytoplasmic,5.0,-104.0,61,-1.7049180327868851,P13569|cyto|seg5
P13569,segment,Cytoplasmic,6.0,-267.0,329,-0.8115501519756839,P13569|cyto|seg6
P15529,segment,Cytoplasmic,0.0,-20.0,26,-0.7692307692307693,P15529|cyto|seg0
P15941,segment,Cytoplasmic,0.0,-12.0,74,-0.16216216216216217,P15941|cyto|seg0
P17948,segment,Cytoplasmic,0.0,-389.0,558,-0.6971326164874552,P17948|cyto|seg0
P20963,segment,Cytoplasmic,0.0,-6.0,113,-0.05309734513274336,P20963|cyto|seg0
P21802,segment,Cytoplasmic,0.0,-327.0,423,-0.7730496453900709,P21802|cyto|seg0
P29317,segment,Cytoplasmic,0.0,-444.0,418,-1.062200956937799,P29317|cyto|seg0
P31431,segment,Cytoplasmic,0.0,12.0,28,0.42857142857142855,P31431|cyto|seg0
P31645,segment,Cytoplasmic,0.0,57.0,87,0.6551724137931034,P31645|cyto|seg0
P31645,segment,Cytoplasmic,1.0,-59.0,25,-2.36,P31645|cyto|seg1
P31645,segment,Cytoplasmic,2.0,0.0,6,0.0,P31645|cyto|seg2
P31645,segment,Cytoplasmic,3.0,5.0,13,0.38461538461538464,P31645|cyto|seg3
P31645,segment,Cytoplasmic,4.0,-37.0,20,-1.85,P31645|cyto|seg4
P31645,segment,Cytoplasmic,5.0,-18.0,22,-0.8181818181818182,P31645|cyto|seg5
P31645,segment,Cytoplasmic,6.0,-60.0,35,-1.7142857142857142,P31645|cyto|seg6
P35968,segment,Cytoplasmic,0.0,-405.0,571,-0.7092819614711033,P35968|cyto|seg0
P40967,segment,Cytoplasmic,0.0,-16.0,45,-0.35555555555555557,P40967|cyto|seg0
P46531,segment,Cytoplasmic,0.0,-105.0,799,-0.13141426783479349,P46531|cyto|seg0
P49146,segment,Cytoplasmic,0.0,-18.0,13,-1.3846153846153846,P49146|cyto|seg0
P49146,segment,Cytoplasmic,1.0,-38.0,17,-2.235294117647059,P49146|cyto|seg1
P49146,segment,Cytoplasmic,2.0,-17.0,27,-0.6296296296296297,P49146|cyto|seg2
P49146,segment,Cytoplasmic,3.0,-35.0,55,-0.6363636363636364,P49146|cyto|seg3
P61073,segment,Cytoplasmic,0.0,11.0,14,0.7857142857142857,P61073|cyto|seg0
P61073,segment,Cytoplasmic,1.0,-30.0,24,-1.25,P61073|cyto|seg1
P61073,segment,Cytoplasmic,2.0,-32.0,25,-1.28,P61073|cyto|seg2
P61073,segment,Cytoplasmic,3.0,6.0,50,0.12,P61073|cyto|seg3
P63027,segment,Cytoplasmic,0.0,-53.0,93,-0.5698924731182796,P63027|cyto|seg0
Q03135,segment,Cytoplasmic,0.0,-117.0,103,-1.1359223300970873,Q03135|cyto|seg0
Q03135,segment,Cytoplasmic,1.0,-135.0,53,-2.547169811320755,Q03135|cyto|seg1
Q04671,segment,Cytoplasmic,0.0,-81.0,179,-0.45251396648044695,Q04671|cyto|seg0
Q04671,segment,Cytoplasmic,1.0,-19.0,6,-3.1666666666666665,Q04671|cyto|seg1
Q04671,segment,Cytoplasmic,2.0,-24.0,22,-1.0909090909090908,Q04671|cyto|seg2
Q04671,segment,Cytoplasmic,3.0,-121.0,90,-1.3444444444444446,Q04671|cyto|seg3
Q04671,segment,Cytoplasmic,4.0,-25.0,15,-1.6666666666666667,Q04671|cyto|seg4
Q04671,segment,Cytoplasmic,5.0,-53.0,23,-2.3043478260869565,Q04671|cyto|seg5
Q04671,segment,Cytoplasmic,6.0,-11.0,4,-2.75,Q04671|cyto|seg6
Q07065,segment,Cytoplasmic,0.0,129.0,106,1.2169811320754718,Q07065|cyto|seg0
Q08345,segment,Cytoplasmic,0.0,-361.0,475,-0.76,Q08345|cyto|seg0
Q12879,segment,Cytoplasmic,0.0,-3.0,24,-0.125,Q12879|cyto|seg0
Q12879,segment,Cytoplasmic,1.0,1.0,10,0.1,Q12879|cyto|seg1
Q12879,segment,Cytoplasmic,2.0,-56.0,629,-0.0890302066772655,Q12879|cyto|seg2
Q14BN4,segment,Cytoplasmic,0.0,-755.0,802,-0.9413965087281796,Q14BN4|cyto|seg0
Q15303,segment,Cytoplasmic,0.0,-388.0,633,-0.6129541864139021,Q15303|cyto|seg0
Q7Z3C6,segment,Cytoplasmic,0.0,-44.0,60,-0.7333333333333333,Q7Z3C6|cyto|seg0
Q7Z3C6,segment,Cytoplasmic,1.0,-208.0,136,-1.5294117647058822,Q7Z3C6|cyto|seg1
Q7Z3C6,segment,Cytoplasmic,2.0,-45.0,18,-2.5,Q7Z3C6|cyto|seg2
Q7Z3C6,segment,Cytoplasmic,3.0,-67.0,43,-1.558139534883721,Q7Z3C6|cyto|seg3
Q7Z3C6,segment,Cytoplasmic,4.0,-62.0,46,-1.3478260869565217,Q7Z3C6|cyto|seg4
Q7Z3C6,segment,Cytoplasmic,5.0,-4.0,3,-1.3333333333333333,Q7Z3C6|cyto|seg5
Q7Z3C6,segment,Cytoplasmic,6.0,-49.0,347,-0.14121037463976946,Q7Z3C6|cyto|seg6
Q7Z434,segment,Cytoplasmic,0.0,54.0,512,0.10546875,Q7Z434|cyto|seg0
Q86WV6,segment,Cytoplasmic,0.0,-28.0,17,-1.6470588235294117,Q86WV6|cyto|seg0
Q86WV6,segment,Cytoplasmic,1.0,-61.0,22,-2.772727272727273,Q86WV6|cyto|seg1
Q86WV6,segment,Cytoplasmic,2.0,-269.0,245,-1.0979591836734695,Q86WV6|cyto|seg2
Q8N114,segment,Cytoplasmic,0.0,-33.0,114,-0.2894736842105263,Q8N114|cyto|seg0
Q8TEM1,segment,Cytoplasmic,0.0,-82.0,58,-1.4137931034482758,Q8TEM1|cyto|seg0
Q8WXG9,segment,Cytoplasmic,0.0,-8.0,10,-0.8,Q8WXG9|cyto|seg0
Q8WXG9,segment,Cytoplasmic,1.0,0.0,10,0.0,Q8WXG9|cyto|seg1
Q8WXG9,segment,Cytoplasmic,2.0,-16.0,24,-0.6666666666666666,Q8WXG9|cyto|seg2
Q8WXG9,segment,Cytoplasmic,3.0,105.0,152,0.6907894736842105,Q8WXG9|cyto|seg3
Q9BR39,segment,Cytoplasmic,0.0,219.0,674,0.3249258160237389,Q9BR39|cyto|seg0
Q9H461,segment,Cytoplasmic,0.0,-14.0,16,-0.875,Q9H461|cyto|seg0
Q9H461,segment,Cytoplasmic,1.0,-19.0,22,-0.8636363636363636,Q9H461|cyto|seg1
Q9H461,segment,Cytoplasmic,2.0,-26.0,28,-0.9285714285714286,Q9H461|cyto|seg2
Q9H461,segment,Cytoplasmic,3.0,76.0,89,0.8539325842696629,Q9H461|cyto|seg3
Q9UM73,segment,Cytoplasmic,0.0,-206.0,561,-0.3672014260249554,Q9UM73|cyto|seg0
Q9Y624,segment,Cytoplasmic,0.0,6.0,40,0.15,Q9Y624|cyto|seg0
O00254,segment,Transmembrane,0.0,-75.0,26,-2.8846153846153846,O00254|tm|seg0
O00254,segment,Transmembrane,1.0,-64.0,20,-3.2,O00254|tm|seg1
O00254,segment,Transmembrane,2.0,-67.0,22,-3.0454545454545454,O00254|tm|seg2
O00254,segment,Transmembrane,3.0,-78.0,24,-3.25,O00254|tm|seg3
O00254,segment,Transmembrane,4.0,-71.0,20,-3.55,O00254|tm|seg4
O00254,segment,Transmembrane,5.0,-76.0,25,-3.04,O00254|tm|seg5
O00254,segment,Transmembrane,6.0,-76.0,25,-3.04,O00254|tm|seg6
O14763,segment,Transmembrane,0.0,-71.0,21,-3.380952380952381,O14763|tm|seg0
O43561,segment,Transmembrane,0.0,-64.0,23,-2.782608695652174,O43561|tm|seg0
O60500,segment,Transmembrane,0.0,-44.0,21,-2.0952380952380953,O60500|tm|seg0
O60733,segment,Transmembrane,0.0,-41.0,21,-1.9523809523809523,O60733|tm|seg0
O60733,segment,Transmembrane,1.0,-42.0,21,-2.0,O60733|tm|seg1
O75445,segment,Transmembrane,0.0,-48.0,21,-2.2857142857142856,O75445|tm|seg0
O75460,segment,Transmembrane,0.0,-81.0,21,-3.857142857142857,O75460|tm|seg0
O75581,segment,Transmembrane,0.0,-67.0,23,-2.9130434782608696,O75581|tm|seg0
P00533,segment,Transmembrane,0.0,-53.0,23,-2.3043478260869565,P00533|tm|seg0
P04626,segment,Transmembrane,0.0,-87.0,23,-3.782608695652174,P04626|tm|seg0
P05067,segment,Transmembrane,0.0,-70.0,21,-3.3333333333333335,P05067|tm|seg0
P05556,segment,Transmembrane,0.0,-77.0,23,-3.347826086956522,P05556|tm|seg0
P07766,segment,Transmembrane,0.0,-88.0,26,-3.3846153846153846,P07766|tm|seg0
P07949,segment,Transmembrane,0.0,-69.0,22,-3.1363636363636362,P07949|tm|seg0
P08172,segment,Transmembrane,0.0,-73.0,26,-2.8076923076923075,P08172|tm|seg0
P08172,segment,Transmembrane,1.0,-68.0,25,-2.72,P08172|tm|seg1
P08172,segment,Transmembrane,2.0,-70.0,27,-2.5925925925925926,P08172|tm|seg2
P08172,segment,Transmembrane,3.0,-51.0,22,-2.3181818181818183,P08172|tm|seg3
P08172,segment,Transmembrane,4.0,-75.0,25,-3.0,P08172|tm|seg4
P08172,segment,Transmembrane,5.0,-81.0,25,-3.24,P08172|tm|seg5
P08172,segment,Transmembrane,6.0,-86.0,23,-3.739130434782609,P08172|tm|seg6
P08247,segment,Transmembrane,0.0,-31.0,24,-1.2916666666666667,P08247|tm|seg0
P08247,segment,Transmembrane,1.0,-54.0,24,-2.25,P08247|tm|seg1
P08247,segment,Transmembrane,2.0,-51.0,24,-2.125,P08247|tm|seg2
P08247,segment,Transmembrane,3.0,-66.0,24,-2.75,P08247|tm|seg3
P08908,segment,Transmembrane,0.0,-63.0,21,-3.0,P08908|tm|seg0
P08908,segment,Transmembrane,1.0,-49.0,25,-1.96,P08908|tm|seg1
P08908,segment,Transmembrane,2.0,-84.0,25,-3.36,P08908|tm|seg2
P08908,segment,Transmembrane,3.0,-63.0,22,-2.8636363636363638,P08908|tm|seg3
P08908,segment,Transmembrane,4.0,-64.0,23,-2.782608695652174,P08908|tm|seg4
P08908,segment,Transmembrane,5.0,-87.0,24,-3.625,P08908|tm|seg5
P08908,segment,Transmembrane,6.0,-61.0,25,-2.44,P08908|tm|seg6
P10747,segment,Transmembrane,0.0,-99.0,27,-3.6666666666666665,P10747|tm|seg0
P11362,segment,Transmembrane,0.0,-64.0,21,-3.0476190476190474,P11362|tm|seg0
P13569,segment,Transmembrane,0.0,-53.0,21,-2.5238095238095237,P13569|tm|seg0
P13569,segment,Transmembrane,1.0,-72.0,24,-3.0,P13569|tm|seg1
P13569,segment,Transmembrane,10.0,-50.0,21,-2.380952380952381,P13569|tm|seg10
P13569,segment,Transmembrane,11.0,-32.0,21,-1.5238095238095237,P13569|tm|seg11
P13569,segment,Transmembrane,2.0,-52.0,21,-2.4761904761904763,P13569|tm|seg2
P13569,segment,Transmembrane,3.0,-33.0,21,-1.5714285714285714,P13569|tm|seg3
P13569,segment,Transmembrane,4.0,-34.0,21,-1.619047619047619,P13569|tm|seg4
P13569,segment,Transmembrane,5.0,-40.0,19,-2.1052631578947367,P13569|tm|seg5
P13569,segment,Transmembrane,6.0,-64.0,21,-3.0476190476190474,P13569|tm|seg6
P13569,segment,Transmembrane,7.0,-27.0,21,-1.2857142857142858,P13569|tm|seg7
P13569,segment,Transmembrane,8.0,-68.0,21,-3.238095238095238,P13569|tm|seg8
P13569,segment,Transmembrane,9.0,-66.0,21,-3.142857142857143,P13569|tm|seg9
P15529,segment,Transmembrane,0.0,-95.0,23,-4.130434782608695,P15529|tm|seg0
P15941,segment,Transmembrane,0.0,-77.0,23,-3.347826086956522,P15941|tm|seg0
P15954,segment,Transmembrane,0.0,-57.0,27,-2.111111111111111,P15954|tm|seg0
P17948,segment,Transmembrane,0.0,-83.0,22,-3.772727272727273,P17948|tm|seg0
P20963,segment,Transmembrane,0.0,-76.0,21,-3.619047619047619,P20963|tm|seg0
P21802,segment,Transmembrane,0.0,-82.0,21,-3.9047619047619047,P21802|tm|seg0
P29317,segment,Transmembrane,0.0,-37.0,21,-1.7619047619047619,P29317|tm|seg0
P31431,segment,Transmembrane,0.0,-73.0,25,-2.92,P31431|tm|seg0
P31645,segment,Transmembrane,0.0,-57.0,25,-2.28,P31645|tm|seg0
P31645,segment,Transmembrane,1.0,-48.0,20,-2.4,P31645|tm|seg1
P31645,segment,Transmembrane,10.0,-81.0,20,-4.05,P31645|tm|seg10
P31645,segment,Transmembrane,11.0,-65.0,21,-3.0952380952380953,P31645|tm|seg11
