UniProt_ID,approach,region,seg_idx,score
P15941,whole,Whole,,0.8098321704265643
Q7Z434,whole,Whole,,0.8157379853939009
Q9BR39,whole,Whole,,0.9085145678132642
O43561,whole,Whole,,0.6475741385548002
P31431,whole,Whole,,0.3751220971985444
O75445,whole,Whole,,0.6112309185243979
Q9UM73,whole,Whole,,0.85925445689782
Q9H461,whole,Whole,,0.6823047967816465
O14763,whole,Whole,,0.6988238830210836
P46531,whole,Whole,,0.8347137030915559
Q8N114,whole,Whole,,0.5456722251473847
Q07065,whole,Whole,,0.824053519508696
P08172,whole,Whole,,0.4707865788405745
Q08345,whole,Whole,,0.7904547668784648
O60500,whole,Whole,,0.8102068868890275
P05067,whole,Whole,,0.7517669594641843
Q8WXG9,whole,Whole,,0.5152989499266505
P11362,whole,Whole,,0.7475201863033696
Q8NC56,whole,Whole,,0.7480487431855307
P40967,whole,Whole,,0.6474275875058453
P07766,whole,Whole,,0.3840600106586072
P20963,whole,Whole,,0.31857331715825005
P04626,whole,Whole,,0.7916032112568478
O75460,whole,Whole,,0.8076256814335443
P35968,whole,Whole,,0.7475981455724243
Q12879,whole,Whole,,0.7444131631049393
Q86WV6,whole,Whole,,0.4465406365410429
P07949,whole,Whole,,0.4284791594927323
P08908,whole,Whole,,0.5755573841337309
P01857,whole,Whole,,0.3871847853274284
Q7Z3C6,whole,Whole,,0.570137646524983
O75581,whole,Whole,,0.6863973018752079
P63027,whole,Whole,,0.41076940679976104
O60733,whole,Whole,,0.4812713663054601
Q04671,whole,Whole,,0.5728288917641494
Q14BN4,whole,Whole,,0.7615433156494418
P15529,whole,Whole,,0.4297136769581865
Q8TEM1,whole,Whole,,0.5098228666860232
Q9UJA2,whole,Whole,,0.3495007206973131
P00533,whole,Whole,,0.708737096472045
P21802,whole,Whole,,0.6792178467362027
P08247,whole,Whole,,0.5961894697111274
Q14739,whole,Whole,,0.4318260637083343
P29317,whole,Whole,,0.5090752430571824
P17948,whole,Whole,,0.5983249120777914
P05556,whole,Whole,,0.5887369735934134
P10747,whole,Whole,,0.28131515688202086
Q16635,whole,Whole,,0.18611841978154903
P61073,whole,Whole,,0.33756011451956147
Q15303,whole,Whole,,0.7417623343955715
O00254,whole,Whole,,0.45468299376270765
Q9H3U5,whole,Whole,,0.49627370329693327
Q9Y624,whole,Whole,,0.2792030519407533
P31645,whole,Whole,,0.4511420928032439
P49146,whole,Whole,,0.2850098495429285
P15954,whole,Whole,,0.1451981439729742
P13569,whole,Whole,,0.319666687562136
Q9BRQ8,whole,Whole,,0.160960749617091
Q03135,whole,Whole,,0.09944173284853804
Q13021,whole,Whole,,0.356358347216439
P15941,concatenated,Cytoplasmic,,0.39556698472086793
Q7Z434,concatenated,Cytoplasmic,,0.8330745379708189
Q9BR39,concatenated,Cytoplasmic,,0.8945590709689284
O43561,concatenated,Cytoplasmic,,0.668891758549701
P31431,concatenated,Cytoplasmic,,0.3757598703438677
O75445,concatenated,Cytoplasmic,,0.3652975443557631
Q9UM73,concatenated,Cytoplasmic,,0.7942028954083203
Q9H461,concatenated,Cytoplasmic,,0.5400515430609639
O14763,concatenated,Cytoplasmic,,0.40586640020176135
P46531,concatenated,Cytoplasmic,,0.9096430344347542
Q8N114,concatenated,Cytoplasmic,,0.6448823330900546
Q07065,concatenated,Cytoplasmic,,0.6449927775108675
P08172,concatenated,Cytoplasmic,,0.6051416023208434
Q08345,concatenated,Cytoplasmic,,0.6803259123755538
O60500,concatenated,Cytoplasmic,,0.49501948792644
P05067,concatenated,Cytoplasmic,,0.3563983992628537
Q8WXG9,concatenated,Cytoplasmic,,0.48055189338494
P11362,concatenated,Cytoplasmic,,0.3738548160746867
P40967,concatenated,Cytoplasmic,,0.24388906165609625
P07766,concatenated,Cytoplasmic,,0.41411076521203444
P20963,concatenated,Cytoplasmic,,0.3724182603090155
P04626,concatenated,Cytoplasmic,,0.7821972512774278
O75460,concatenated,Cytoplasmic,,0.736585092439449
P35968,concatenated,Cytoplasmic,,0.7090396731281602
Q12879,concatenated,Cytoplasmic,,0.7580414618027969
Q86WV6,concatenated,Cytoplasmic,,0.40704940220572583
P07949,concatenated,Cytoplasmic,,0.33602638100135074
P08908,concatenated,Cytoplasmic,,0.4262157393532491
Q7Z3C6,concatenated,Cytoplasmic,,0.7922406558617741
O75581,concatenated,Cytoplasmic,,0.7239592645671089
P63027,concatenated,Cytoplasmic,,0.43244416304101824
Q04671,concatenated,Cytoplasmic,,0.5971122463692973
Q14BN4,concatenated,Cytoplasmic,,0.7439250601212538
P15529,concatenated,Cytoplasmic,,0.40158031615241263
Q8TEM1,concatenated,Cytoplasmic,,0.4735837386590408
P00533,concatenated,Cytoplasmic,,0.7436360421932625
P21802,concatenated,Cytoplasmic,,0.6025417216814728
P08247,concatenated,Cytoplasmic,,0.6933155469645624
P29317,concatenated,Cytoplasmic,,0.2815307031117362
