uniprot_id,gene_name,pllps_score,degree,functional_group
O60359,CACNG3,0.64,19,Ion Channel
Q08289,CACNB2,0.99,15,Ion Channel
Q9Y698,CACNG2,0.62,21,Ion Channel
Q14957,GRIN2C,0.82,9,Ion Channel
O60391,GRIN3B,0.76,9,Ion Channel
Q13224,GRIN2B,0.87,9,Ion Channel
O15399,GRIN2D,0.99,9,Ion Channel
P21817,RYR1,1.0,15,Ion Channel
Q96MF2,STAC3,0.92,13,Ion Channel
O95180,CACNA1H,1.0,15,Ion Channel
Q8NEC5,CATSPER1,0.99,13,Ion Channel
P42263,GRIA3,0.56,9,Ion Channel
P42261,GRIA1,0.65,9,Ion Channel
Q8WXS5,CACNG8,1.0,19,Ion Channel
O00305,CACNB4,0.98,14,Ion Channel
P54284,CACNB3,0.88,16,Ion Channel
Q01668,CACNA1D,0.92,17,Ion Channel
Q13936,CACNA1C,0.99,16,Ion Channel
Q9UBN1,CACNG4,0.75,21,Ion Channel
O60840,CACNA1F,0.94,13,Ion Channel
P51787,KCNQ1,0.68,4,Ion Channel
O43525,KCNQ3,0.99,3,Ion Channel
O95279,KCNK5,0.73,1,Ion Channel
O43526,KCNQ2,0.98,3,Ion Channel
Q9NR82,KCNQ5,0.91,4,Ion Channel
Q9NSA2,KCND1,0.88,1,Ion Channel
Q9UK17,KCND3,0.65,2,Ion Channel
Q13563,PKD2,0.82,1,Ion Channel
P98161,PKD1,0.98,1,Ion Channel
P22460,KCNA5,0.94,1,Ion Channel
P16389,KCNA2,0.61,4,Ion Channel
Q8TD43,TRPM4,0.68,2,Ion Channel
P37088,SCNN1A,0.69,2,Ion Channel
P51172,SCNN1D,0.75,2,Ion Channel
P20309,CHRM3,0.68,1,Ion Channel
P08912,CHRM5,0.74,1,Ion Channel
Q9P2D8,UNC79,0.95,1,Ion Channel
Q8N2C7,UNC80,1.0,1,Ion Channel
Q9Y3Q4,HCN4,1.0,1,Ion Channel
O60741,HCN1,0.83,1,Ion Channel
O43497,CACNA1G,1.0,5,Ion Channel
Q15878,CACNA1E,0.97,6,Ion Channel
Q12809,KCNH2,0.96,1,Ion Channel
Q9H252,KCNH6,0.57,1,Ion Channel
P30626,SRI,0.55,1,Ion Channel
Q92736,RYR2,0.86,5,Ion Channel
Q02641,CACNB1,0.98,5,Ion Channel
O00555,CACNA1A,0.98,6,Ion Channel
P17658,KCNA6,0.93,1,Ion Channel
Q8WWG9,KCNE4,0.92,1,Ion Channel
Q00975,CACNA1B,0.94,5,Ion Channel
Q9NZV8,KCND2,0.76,1,Ion Channel
P22459,KCNA4,0.9,1,Ion Channel
Q9P0X4,CACNA1I,1.0,2,Ion Channel
Q15413,RYR3,0.82,2,Ion Channel
Q14721,KCNB1,0.96,1,Ion Channel
Q9Y2H0,DLGAP4,1.0,1,Ion Channel
Q9P1A6,DLGAP2,0.99,1,Ion Channel
Q9NZA1,CLIC5,0.49,1,Ion Channel
O15247,CLIC2,0.31,1,Ion Channel
Q93086,P2RX5,0.25,3,Ion Channel
Q05586,GRIN1,0.26,6,Ion Channel
Q12879,GRIN2A,0.5,6,Ion Channel
O15547,P2RX6,0.39,3,Ion Channel
Q9UL51,HCN2,0.45,1,Ion Channel
Q9P1Z3,HCN3,0.46,1,Ion Channel
P60880,SNAP25,0.25,1,Ion Channel
P63027,VAMP2,0.4,1,Ion Channel
O75899,GABBR2,0.38,1,Ion Channel
Q9UBS5,GABBR1,0.32,1,Ion Channel
Q9H2S1,KCNN2,0.52,3,Ion Channel
A8MYU2,KCNU1,0.26,3,Ion Channel
Q12791,KCNMA1,0.47,3,Ion Channel
Q92952,KCNN1,0.26,3,Ion Channel
P48547,KCNC1,0.37,1,Ion Channel
Q9Y2W7,KCNIP3,0.54,1,Ion Channel
Q16281,CNGA3,0.25,1,Ion Channel
Q9NQW8,CNGB3,0.48,2,Ion Channel
P48058,GRIA4,0.38,4,Ion Channel
Q8TCU5,GRIN3A,0.31,4,Ion Channel
P42262,GRIA2,0.34,4,Ion Channel
P51170,SCNN1G,0.24,3,Ion Channel
P35499,SCN4A,0.48,3,Ion Channel
Q8IWT1,SCN4B,0.27,3,Ion Channel
P51168,SCNN1B,0.27,3,Ion Channel
P48050,KCNJ4,0.45,3,Ion Channel
Q9UNX9,KCNJ14,0.27,3,Ion Channel
B7U540,KCNJ18,0.26,3,Ion Channel
Q14500,KCNJ12,0.32,3,Ion Channel
P29973,CNGA1,0.3,1,Ion Channel
Q8WXA8,HTR3C,0.28,1,Ion Channel
Q70Z44,HTR3D,0.28,1,Ion Channel
Q9P0L9,PKD2L1,0.48,1,Ion Channel
Q7Z443,PKD1L3,0.24,1,Ion Channel
P39086,GRIK1,0.33,1,Ion Channel
Q13002,GRIK2,0.27,1,Ion Channel
Q8IU99,CALHM1,0.39,1,Ion Channel
Q86XJ0,CALHM3,0.3,1,Ion Channel
Q13698,CACNA1S,0.52,3,Ion Channel
Q96P56,CATSPER2,0.3,3,Ion Channel
Q7RTX7,CATSPER4,0.25,3,Ion Channel
Q7Z3S7,CACNA2D4,0.28,3,Ion Channel
Q09470,KCNA1,0.42,1,Ion Channel
Q14722,KCNAB1,0.46,1,Ion Channel
Q16515,ASIC2,0.16,1,Ion Channel
P27105,STOM,0.21,1,Ion Channel
Q06432,CACNG1,0.14,5,Ion Channel
Q9BXT2,CACNG6,0.22,4,Ion Channel
P62955,CACNG7,0.14,5,Ion Channel
Q86XQ3,CATSPER3,0.14,4,Ion Channel
Q9NY47,CACNA2D2,0.22,2,Ion Channel
P54289,CACNA2D1,0.18,6,Ion Channel
O60928,KCNJ13,0.14,1,Ion Channel
O15554,KCNN4,0.15,1,Ion Channel
O95264,HTR3B,0.16,2,Ion Channel
A5X5Y0,HTR3E,0.21,2,Ion Channel
P46098,HTR3A,0.19,3,Ion Channel
O60706,ABCC9,0.17,3,Ion Channel
Q09428,ABCC8,0.17,3,Ion Channel
Q15842,KCNJ8,0.19,3,Ion Channel
Q14654,KCNJ11,0.19,3,Ion Channel
P56373,P2RX3,0.14,2,Ion Channel
Q99572,P2RX7,0.13,2,Ion Channel
Q99571,P2RX4,0.17,2,Ion Channel
P48167,GLRB,0.18,1,Ion Channel
O75311,GLRA3,0.19,1,Ion Channel
Q9NQA5,TRPV5,0.16,1,Ion Channel
Q9H1D0,TRPV6,0.22,1,Ion Channel
Q9HB14,KCNK13,0.16,1,Ion Channel
Q9HB15,KCNK12,0.24,1,Ion Channel
P18505,GABRB1,0.16,4,Ion Channel
P18507,GABRG2,0.16,3,Ion Channel
P47869,GABRA2,0.17,3,Ion Channel
P28472,GABRB3,0.22,4,Ion Channel
P14867,GABRA1,0.2,4,Ion Channel
Q9P1W3,TMEM63C,0.19,1,Ion Channel
P48051,KCNJ6,0.15,3,Ion Channel
Q8IZS8,CACNA2D3,0.14,1,Ion Channel
Q92806,KCNJ9,0.2,2,Ion Channel
P48544,KCNJ5,0.21,2,Ion Channel
Q96T54,KCNK17,0.22,1,Ion Channel
Q96T55,KCNK16,0.21,1,Ion Channel
Q99712,KCNJ15,0.21,1,Ion Channel
Q9NPI9,KCNJ16,0.2,2,Ion Channel
Q9NZI2,KCNIP1,0.15,1,Ion Channel
Q9NS61,KCNIP2,0.23,1,Ion Channel
P78508,KCNJ10,0.14,1,Ion Channel
Q8TDD5,MCOLN3,0.11,1,Ion Channel
Q8IZK6,MCOLN2,0.12,1,Ion Channel
Q8N350,Q8N350,1.0,0,Ion Channel
Q14028,Q14028,1.0,0,Ion Channel
Q14003,Q14003,1.0,0,Ion Channel
O95886,O95886,1.0,0,Ion Channel
Q96MG2,Q96MG2,1.0,0,Ion Channel
Q96NY7,Q96NY7,1.0,0,Ion Channel
Q8HWS3,Q8HWS3,0.99,0,Ion Channel
Q9NZU7,Q9NZU7,0.99,0,Ion Channel
O14523,O14523,0.99,0,Ion Channel
Q96FT7,Q96FT7,0.98,0,Ion Channel
Q9ULD8,Q9ULD8,0.98,0,Ion Channel
Q6ZMT1,Q6ZMT1,0.98,0,Ion Channel
Q86VP3,Q86VP3,0.97,0,Ion Channel
Q6ZMI3,Q6ZMI3,0.97,0,Ion Channel
Q92953,Q92953,0.96,0,Ion Channel
Q8TDX9,Q8TDX9,0.95,0,Ion Channel
Q9UQ05,Q9UQ05,0.95,0,Ion Channel
Q9NV92,Q9NV92,0.94,0,Ion Channel
Q9NXW2,Q9NXW2,0.9,0,Ion Channel
Q9UGI6,Q9UGI6,0.89,0,Ion Channel
Q9NYG8,Q9NYG8,0.89,0,Ion Channel
Q7Z5M5,Q7Z5M5,0.85,0,Ion Channel
Q9UKS6,Q9UKS6,0.85,0,Ion Channel
Q99469,Q99469,0.84,0,Ion Channel
P08172,P08172,0.82,0,Ion Channel
Q9NS40,Q9NS40,0.82,0,Ion Channel
Q7Z4N2,Q7Z4N2,0.81,0,Ion Channel
Q96L42,Q96L42,0.8,0,Ion Channel
Q8TBM8,Q8TBM8,0.79,0,Ion Channel
P61328,P61328,0.76,0,Ion Channel
P78563,P78563,0.76,0,Ion Channel
Q9UBI4,Q9UBI4,0.75,0,Ion Channel
Q9UJ90,Q9UJ90,0.75,0,Ion Channel
O43665,O43665,0.74,0,Ion Channel
Q5JUK3,Q5JUK3,0.72,0,Ion Channel
O14649,O14649,0.69,0,Ion Channel
Q2M3C6,Q2M3C6,0.66,0,Ion Channel
P08173,P08173,0.64,0,Ion Channel
Q9HCF6,Q9HCF6,0.62,0,Ion Channel
Q92913,Q92913,0.6,0,Ion Channel
P57789,P57789,0.59,0,Ion Channel
Q96S66,Q96S66,0.56,0,Ion Channel
Q5VU97,Q5VU97,0.55,0,Ion Channel
Q8TDI7,Q8TDI7,0.54,0,Ion Channel
Q9UJ96,Q9UJ96,0.53,0,Ion Channel
Q9NZQ8,Q9NZQ8,0.52,0,Ion Channel
Q9UIX4,Q9UIX4,0.5,0,Ion Channel
Q8NCM2,Q8NCM2,0.49,0,Ion Channel
Q6UXY8,Q6UXY8,0.48,0,Ion Channel
Q3SXY7,Q3SXY7,0.46,0,Ion Channel
Q7Z404,Q7Z404,0.46,0,Ion Channel
Q8TDN1,Q8TDN1,0.46,0,Ion Channel
Q2I0M4,Q2I0M4,0.44,0,Ion Channel
Q6ZRF8,Q6ZRF8,0.43,0,Ion Channel
Q8TDN2,Q8TDN2,0.43,0,Ion Channel
Q8TC29,Q8TC29,0.42,0,Ion Channel
Q9Y6H6,Q9Y6H6,0.42,0,Ion Channel
P57103,P57103,0.4,0,Ion Channel
O95259,O95259,0.4,0,Ion Channel
Q9ULQ1,Q9ULQ1,0.4,0,Ion Channel
Q9UHC3,Q9UHC3,0.39,0,Ion Channel
O94886,O94886,0.38,0,Ion Channel
P15382,P15382,0.38,0,Ion Channel
P49802,P49802,0.37,0,Ion Channel
Q8NI17,Q8NI17,0.37,0,Ion Channel
Q9BYT9,Q9BYT9,0.36,0,Ion Channel
Q9Y6J6,Q9Y6J6,0.36,0,Ion Channel
Q96ER9,Q96ER9,0.34,0,Ion Channel
P23415,P23415,0.33,0,Ion Channel
O43448,O43448,0.33,0,Ion Channel
Q9Y2U2,Q9Y2U2,0.32,0,Ion Channel
Q9H427,Q9H427,0.32,0,Ion Channel
Q6UVM3,Q6UVM3,0.31,0,Ion Channel
O94759,O94759,0.3,0,Ion Channel
Q86WK6,Q86WK6,0.3,0,Ion Channel
Q7L1W4,Q7L1W4,0.29,0,Ion Channel
Q9Y342,Q9Y342,0.29,0,Ion Channel
Q7Z402,Q7Z402,0.28,0,Ion Channel
Q9BVC6,Q9BVC6,0.28,0,Ion Channel
Q7Z403,Q7Z403,0.28,0,Ion Channel
Q8TAV4,Q8TAV4,0.28,0,Ion Channel
Q9BQ31,Q9BQ31,0.27,0,Ion Channel
P31644,P31644,0.27,0,Ion Channel
P84074,P84074,0.27,0,Ion Channel
P11229,P11229,0.26,0,Ion Channel
Q16651,Q16651,0.25,0,Ion Channel
P48549,P48549,0.25,0,Ion Channel
Q16517,Q16517,0.25,0,Ion Channel
P16562,P16562,0.25,0,Ion Channel
Q7Z449,Q7Z449,0.25,0,Ion Channel
Q8TDW0,Q8TDW0,0.24,0,Ion Channel
P42658,P42658,0.24,0,Ion Channel
Q9BSA9,Q9BSA9,0.24,0,Ion Channel
P23416,P23416,0.24,0,Ion Channel
P19957,P19957,0.24,0,Ion Channel
Q9ULS6,Q9ULS6,0.24,0,Ion Channel
Q9NP55,Q9NP55,0.23,0,Ion Channel
Q9NWR8,Q9NWR8,0.23,0,Ion Channel
Q96KK3,Q96KK3,0.23,0,Ion Channel
Q9Y696,Q9Y696,0.23,0,Ion Channel
Q8IW00,Q8IW00,0.23,0,Ion Channel
Q9H6F2,Q9H6F2,0.23,0,Ion Channel
Q9NPB3,Q9NPB3,0.22,0,Ion Channel
Q8TDI8,Q8TDI8,0.22,0,Ion Channel
Q8NET8,Q8NET8,0.22,0,Ion Channel
Q9Y5S1,Q9Y5S1,0.22,0,Ion Channel
Q7Z2W7,Q7Z2W7,0.22,0,Ion Channel
P20591,P20591,0.21,0,Ion Channel
Q9HBU9,Q9HBU9,0.2,0,Ion Channel
Q6PIU1,Q6PIU1,0.2,0,Ion Channel
Q5T3F8,Q5T3F8,0.2,0,Ion Channel
O60939,O60939,0.2,0,Ion Channel
Q8IU68,Q8IU68,0.2,0,Ion Channel
Q9H3M0,Q9H3M0,0.2,0,Ion Channel
O75323,O75323,0.2,0,Ion Channel
Q9NPC2,Q9NPC2,0.2,0,Ion Channel
P51800,P51800,0.2,0,Ion Channel
Q9NVV0,Q9NVV0,0.19,0,Ion Channel
Q6P9F7,Q6P9F7,0.19,0,Ion Channel
Q96SW2,Q96SW2,0.19,0,Ion Channel
