UniProt_ID,Entry_name,mean_rank,weighted_mean_rank,rank_sd,frac_predictors_high,n_predictors_scored,group,TMD_count,TMD_class,evidence_in_vivo,evidence_in_vitro,role,LLPS_mode,functional_groups
Q9BR39,JPH2_HUMAN,0.8366791194969545,0.8400529264094322,0.2276795878247861,0.9444444444444444,18,Consistently high,1,single,False,False,driver,autonomous,Transcription Factor
Q07065,CKAP4_HUMAN,0.8025714286488227,0.8214686294009506,0.227707474070537,0.8888888888888888,18,Consistently high,1,single,True,True,driver,autonomous,
P00533,EGFR_HUMAN,0.7701485045493628,0.7884804019074014,0.1938803378270403,0.8888888888888888,18,Consistently high,1,single,False,False,both,both,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor;Adhesion
P04626,ERBB2_HUMAN,0.7458482874533046,0.7519598749688198,0.1270106738668081,1.0,18,Consistently high,1,single,False,True,unclear,partner_dependent,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor
Q7Z434,MAVS_HUMAN,0.7200793243166125,0.7416508579566333,0.2771424318261372,0.7777777777777778,18,Consistently high,1,single,True,True,both,autonomous,
Q9UM73,ALK_HUMAN,0.7138955093932946,0.7255037379638354,0.1986347002341116,0.8333333333333334,18,Consistently high,1,single,False,False,unclear,unclear,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor
O75581,LRP6_HUMAN,0.6885577754337175,0.6848499437931923,0.1828734892276056,0.7777777777777778,18,Consistently high,1,single,False,False,driver,autonomous,Transporter;Receptor;Adhesion
O43561,LAT_HUMAN,0.6803499198274944,0.6992473289901402,0.2718003616808674,0.7647058823529411,17,Consistently high,1,single,False,False,unclear,partner_dependent,
P31645,SC6A4_HUMAN,0.3193069344596613,0.3082844303113098,0.1817409731162536,0.16666666666666666,18,Consistently under-ranked,12,multi,False,False,driver,autonomous,Ion Channel;Transporter;Adhesion
Q9UJA2,CRLS1_HUMAN,0.311035860497548,0.2820307527758398,0.2739574656730573,0.16666666666666666,18,Consistently under-ranked,5,multi,False,False,both,both,Transferase
P10747,CD28_HUMAN,0.2933967928184914,0.2887249591823982,0.2210792288574848,0.16666666666666666,18,Consistently under-ranked,1,single,False,True,unclear,partner_dependent,Receptor
Q03135,CAV1_HUMAN,0.2799628957769779,0.3036500645393679,0.2512838427801656,0.2222222222222222,18,Consistently under-ranked,1,single,False,False,driver,both,
Q9H3U5,MFSD1_HUMAN,0.2428691792790965,0.219451444025643,0.2444586405731341,0.2222222222222222,18,Consistently under-ranked,12,multi,False,True,driver,autonomous,Transporter
O00254,PAR3_HUMAN,0.2334765355636499,0.2103377033638208,0.212430204543849,0.16666666666666666,18,Consistently under-ranked,7,multi,False,False,driver,autonomous,GPCR;Hydrolase;Receptor
Q16635,TAZ_HUMAN,0.2031992272233436,0.2076645352217802,0.1378994175399537,0.0,18,Consistently under-ranked,1,single,False,False,client,both,Transferase
P49146,NPY2R_HUMAN,0.1984664171535499,0.1798446427075741,0.1795679965718778,0.1111111111111111,18,Consistently under-ranked,7,multi,False,False,driver,unclear,GPCR;Receptor
Q13021,MALL_HUMAN,0.1917266673841776,0.1711299149769435,0.2136423422509603,0.05555555555555555,18,Consistently under-ranked,4,multi,False,False,unclear,unclear,Structural
P46531,NOTC1_HUMAN,0.684301168439407,0.697367475096969,0.3297280677360895,0.7222222222222222,18,High disagreement,1,single,True,True,driver,autonomous,Receptor
