tag,protein-water,protein-carbon,hydrogen bond (long-range),pi-pi (long-range),disorder (long),K-Beta similarity,disorder (short),electrostatic (short-range),8-feature sum
O00254,-91.0,-52.0,-119.0,-162.0,-117.0,-82.0,-127.0,-28.0,-778.0
O14763,-1.0,63.0,-8.0,-103.0,-52.0,-50.0,-66.0,2.0,-215.0
O43561,56.0,34.0,5.0,-30.0,-16.0,-59.0,-50.0,33.0,-27.0
O60500,81.0,99.0,-46.0,-336.0,-215.0,-301.0,-174.0,-13.0,-905.0
O60733,-19.0,10.0,-58.0,-204.0,-150.0,-169.0,-113.0,-58.0,-761.0
O75445,-238.0,300.0,-331.0,-1266.0,-593.0,-486.0,-826.0,581.0,-2859.0
O75460,-67.0,46.0,-102.0,-287.0,-164.0,-134.0,-167.0,25.0,-850.0
O75581,-36.0,26.0,-104.0,-344.0,-370.0,-256.0,-232.0,60.0,-1256.0
P00533,-48.0,88.0,-104.0,-275.0,-152.0,-103.0,-157.0,-41.0,-792.0
P01857,-11.0,33.0,-31.0,-81.0,-12.0,-12.0,-17.0,35.0,-96.0
P04626,-13.0,63.0,-62.0,-293.0,-144.0,-208.0,-247.0,-67.0,-971.0
P05067,1.0,35.0,-26.0,-108.0,-169.0,-85.0,-86.0,20.0,-418.0
P05556,-63.0,118.0,-83.0,-162.0,-87.0,16.0,-60.0,51.0,-270.0
P07766,0.0,23.0,-6.0,-39.0,-19.0,-18.0,-17.0,31.0,-45.0
P07949,-19.0,43.0,-75.0,-304.0,-188.0,-212.0,-185.0,11.0,-929.0
P08172,-86.0,-39.0,-81.0,-140.0,-106.0,-45.0,-103.0,40.0,-560.0
P08247,36.0,20.0,3.0,2.0,-44.0,1.0,-60.0,24.0,-18.0
P08908,-39.0,-4.0,-74.0,-141.0,-134.0,-115.0,-125.0,-44.0,-676.0
P10747,-24.0,-2.0,-37.0,-70.0,-21.0,-12.0,-47.0,24.0,-189.0
P11362,-30.0,28.0,-84.0,-199.0,-109.0,-164.0,-134.0,0.0,-692.0
P13569,-235.0,5.0,-280.0,-536.0,-362.0,-218.0,-373.0,-26.0,-2025.0
