protein1_uniprot,protein2_uniprot,protein1_gene,protein2_gene,string_score,string_score_normalized,pllps_1,pllps_2,pllps_mean
Q9H307,Q9UKV3,PNN,ACIN1,886.0,0.886,1.0,1.0,1.0
Q9H307,Q15287,PNN,RNPS1,971.0,0.971,1.0,1.0,1.0
Q9UKV3,Q15287,ACIN1,RNPS1,999.0,0.999,1.0,1.0,1.0
P11831,Q969V6,SRF,MRTFA,995.0,0.995,1.0,1.0,1.0
Q12955,Q01484,ANK3,ANK2,900.0,0.9,1.0,1.0,1.0
Q12955,P16070,ANK3,CD44,970.0,0.97,1.0,1.0,1.0
Q01484,P16070,ANK2,CD44,970.0,0.97,1.0,1.0,1.0
P16070,P16150,CD44,SPN,769.0,0.769,1.0,1.0,1.0
Q71F56,A0JLT2,MED13L,MED19,931.0,0.931,1.0,1.0,1.0
Q71F56,Q15648,MED13L,MED1,931.0,0.931,1.0,1.0,1.0
Q71F56,Q93074,MED13L,MED12,996.0,0.996,1.0,1.0,1.0
A0JLT2,Q15648,MED19,MED1,988.0,0.988,1.0,1.0,1.0
A0JLT2,Q93074,MED19,MED12,951.0,0.951,1.0,1.0,1.0
Q15648,Q9Y2W1,MED1,THRAP3,925.0,0.925,1.0,1.0,1.0
Q15648,Q93074,MED1,MED12,975.0,0.975,1.0,1.0,1.0
Q93074,Q9Y2W1,MED12,THRAP3,912.0,0.912,1.0,1.0,1.0
Q9Y566,Q9UPX8,SHANK1,SHANK2,957.0,0.957,1.0,1.0,1.0
Q9Y566,Q9BYB0,SHANK1,SHANK3,971.0,0.971,1.0,1.0,1.0
Q9UPX8,Q9BYB0,SHANK2,SHANK3,974.0,0.974,1.0,1.0,1.0
Q9UPA5,Q9Y6V0,BSN,PCLO,800.0,0.8,1.0,1.0,1.0
Q9Y6V0,Q9UQ26,PCLO,RIMS2,800.0,0.8,1.0,1.0,1.0
Q8NDV7,Q9UPQ9,TNRC6A,TNRC6B,821.0,0.821,1.0,1.0,1.0
Q9UQF2,Q13387,MAPK8IP1,MAPK8IP2,991.0,0.991,1.0,1.0,1.0
Q96IF1,Q9UGP4,AJUBA,LIMD1,920.0,0.92,1.0,1.0,1.0
Q96RN5,P21675,MED15,TAF1,800.0,0.8,1.0,1.0,1.0
Q96RN5,Q9UHV7,MED15,MED13,961.0,0.961,1.0,1.0,1.0
Q96RN5,O95402,MED15,MED26,976.0,0.976,1.0,1.0,1.0
Q96RN5,Q71SY5,MED15,MED25,986.0,0.986,1.0,0.99,0.995
P21675,O95402,TAF1,MED26,852.0,0.852,1.0,1.0,1.0
P21675,Q71SY5,TAF1,MED25,800.0,0.8,1.0,0.99,0.995
Q9UHV7,O95402,MED13,MED26,958.0,0.958,1.0,1.0,1.0
Q9UHV7,Q71SY5,MED13,MED25,886.0,0.886,1.0,0.99,0.995
Q9UHV7,Q86YW9,MED13,MED12L,982.0,0.982,1.0,1.0,1.0
O95402,Q71SY5,MED26,MED25,976.0,0.976,1.0,0.99,0.995
O15234,Q9H1J1,CASC3,UPF3A,962.0,0.962,1.0,0.99,0.995
O15234,Q9BZI7,CASC3,UPF3B,994.0,0.994,1.0,1.0,1.0
Q9H1J1,Q9BZI7,UPF3A,UPF3B,952.0,0.952,0.99,1.0,0.995
Q9H1J1,Q8IYB3,UPF3A,SRRM1,757.0,0.757,0.99,1.0,0.995
Q9H1J1,Q86V81,UPF3A,ALYREF,734.0,0.734,0.99,1.0,0.995
Q9BZI7,Q8IYB3,UPF3B,SRRM1,805.0,0.805,1.0,1.0,1.0
Q9BZI7,Q86V81,UPF3B,ALYREF,909.0,0.909,1.0,1.0,1.0
Q8IYB3,O60828,SRRM1,PQBP1,800.0,0.8,1.0,0.99,0.995
Q8IYB3,O75400,SRRM1,PRPF40A,806.0,0.806,1.0,1.0,1.0
Q8IYB3,Q86V81,SRRM1,ALYREF,980.0,0.98,1.0,1.0,1.0
Q86V81,O75400,ALYREF,PRPF40A,800.0,0.8,1.0,1.0,1.0
Q86V81,O60828,ALYREF,PQBP1,800.0,0.8,1.0,0.99,0.995
Q0VF96,Q07157,CGNL1,TJP1,948.0,0.948,1.0,1.0,1.0
Q07157,Q6IQ23,TJP1,PLEKHA7,735.0,0.735,1.0,1.0,1.0
Q07157,Q8NI35,TJP1,PATJ,762.0,0.762,1.0,0.99,0.995
Q07157,Q9UDY2,TJP1,TJP2,999.0,0.999,1.0,1.0,1.0
Q07157,P55196,TJP1,AFDN,999.0,0.999,1.0,0.99,0.995
Q68EM7,Q8NI35,ARHGAP17,PATJ,853.0,0.853,1.0,0.99,0.995
Q68EM7,Q4VCS5,ARHGAP17,AMOT,986.0,0.986,1.0,1.0,1.0
Q8NI35,Q4VCS5,PATJ,AMOT,998.0,0.998,0.99,1.0,0.995
Q9NYB9,Q9UPY6,ABI2,WASF3,983.0,0.983,1.0,1.0,1.0
Q13061,Q9HDC5,TRDN,JPH1,798.0,0.798,1.0,1.0,1.0
Q13061,Q9BR39,TRDN,JPH2,810.0,0.81,1.0,1.0,1.0
Q86UL8,Q96QZ7,MAGI2,MAGI1,913.0,0.913,1.0,1.0,1.0
Q6IQ23,P55196,PLEKHA7,AFDN,834.0,0.834,1.0,0.99,0.995
Q9UDY2,P55196,TJP2,AFDN,998.0,0.998,1.0,0.99,0.995
Q15654,P56945,TRIP6,BCAR1,826.0,0.826,0.97,0.99,0.98
P56945,Q14511,BCAR1,NEDD9,753.0,0.753,0.99,0.97,0.98
O00401,Q6XZF7,WASL,DNMBP,892.0,0.892,0.98,0.99,0.985
O00401,Q8IZP0,WASL,ABI1,927.0,0.927,0.98,0.99,0.985
O00401,Q14247,WASL,CTTN,990.0,0.99,0.98,0.99,0.985
Q8IZP0,P00519,ABI1,ABL1,967.0,0.967,0.99,0.99,0.99
Q9P2M7,O95049,CGN,TJP3,973.0,0.973,0.99,0.97,0.98
P11274,P00519,BCR,ABL1,944.0,0.944,0.98,0.99,0.985
P00519,P42684,ABL1,ABL2,976.0,0.976,0.99,0.99,0.99
