UniProt_ID,score
Q07065,0.8507573909
P17948,0.7882259247000001
P05067,0.769808888
Q9BR39,0.7654327439
P21802,0.7650979889
O75460,0.7630394757000001
P35968,0.7550936052
P00533,0.7243557948
Q9BRQ8,0.6706123549
P11362,0.6645710642
Q15303,0.6498495255
P05556,0.6429573146
Q14BN4,0.6384488869
P29317,0.6092959723
P15941,0.5785296345000001
O60733,0.5664662817
Q8WXG9,0.5305456419
P01857,0.5233330433
Q12879,0.5079130691
Q8TEM1,0.4330318644
O14763,0.4304014178
P08908,0.4170778534
P04626,0.392907963
P31431,0.388778526
O43561,0.3832165678
O75581,0.3626361058
Q9UM73,0.3597359203
Q7Z434,0.3417054212
Q14739,0.3307056098
P63027,0.3293824143
Q16635,0.3143809595
P20963,0.3123967122
P07949,0.2879960374
Q08345,0.2617370626
P13569,0.2546825181
O60500,0.2428889741
P15529,0.2376365743
Q8NC56,0.2363709607
P08172,0.2188307225
P08247,0.1996463957
P40967,0.196225374
P15954,0.1903205977
Q03135,0.1765001169
O75445,0.1711297
P07766,0.164514824
P46531,0.1535407927
Q9UJA2,0.1170661771
Q9Y624,0.1165015876
P10747,0.08681307
Q9H461,0.0801331697
P31645,0.0786668072
Q04671,0.0756650948
Q13021,0.0720814804
Q7Z3C6,0.069750691
P49146,0.0676945485
Q86WV6,0.0673172323
P61073,0.0584381525
Q9H3U5,0.0456853351
Q8N114,0.0353312183
O00254,0.033985114
