UniProt_ID,seg_idx,score
P15941,0,0.10605999999999999
Q7Z434,0,0.6038799999999996
Q9BR39,0,0.8023800000000001
O43561,0,0.6701200000000002
P31431,0,0.12922
O75445,0,0.19498000000000001
Q9UM73,0,0.62154
Q9H461,0,0.04969999999999998
Q9H461,1,0.010360000000000006
Q9H461,2,0.07179999999999997
Q9H461,3,0.59814
O14763,0,0.21488000000000007
P46531,0,0.74052
Q8N114,0,0.44238000000000016
Q07065,0,0.6849000000000001
P08172,0,0.03845999999999998
P08172,1,0.03833999999999997
P08172,2,0.5085599999999998
P08172,3,0.020060000000000015
Q08345,0,0.42284000000000005
O60500,0,0.36975999999999987
P05067,0,0.14123999999999992
Q8WXG9,0,0.028059999999999988
Q8WXG9,1,0.042819999999999976
Q8WXG9,2,0.08279999999999997
Q8WXG9,3,0.2659
P11362,0,0.3333400000000001
P40967,0,0.03747999999999998
P07766,0,0.29839999999999994
P20963,0,0.4468599999999998
P04626,0,0.68092
O75460,0,0.34979999999999994
P35968,0,0.53286
Q12879,0,0.057939999999999985
Q12879,1,0.03237999999999997
Q12879,2,0.5767199999999999
Q86WV6,0,0.04001999999999998
Q86WV6,1,0.050799999999999984
Q86WV6,2,0.13651999999999995
P07949,0,0.4654200000000002
P08908,0,0.02052000000000001
P08908,1,0.05283999999999996
P08908,2,0.18704000000000004
P08908,3,0.048899999999999964
Q7Z3C6,0,0.07746
Q7Z3C6,1,0.059219999999999946
Q7Z3C6,2,0.010900000000000007
Q7Z3C6,3,0.08225999999999997
Q7Z3C6,4,0.04595999999999998
Q7Z3C6,5,0.028980000000000002
Q7Z3C6,6,0.4113199999999999
O75581,0,0.6141800000000003
P63027,0,0.21972000000000008
Q04671,0,0.14651999999999998
Q04671,1,0.02456
Q04671,2,0.04407999999999999
Q04671,3,0.10262
Q04671,4,0.06675999999999997
Q04671,5,0.026759999999999992
Q04671,6,0.025939999999999994
Q14BN4,0,0.6517999999999996
P15529,0,0.05663999999999997
Q8TEM1,0,0.10366000000000003
P00533,0,0.4117000000000004
P21802,0,0.40778000000000003
P08247,0,0.01438000000000001
P08247,1,0.042959999999999984
P08247,2,0.7129000000000002
P29317,0,0.54326
P17948,0,0.48955999999999994
P05556,0,0.12988000000000002
P10747,0,0.13662000000000002
P61073,0,0.051759999999999966
P61073,1,0.01410000000000001
P61073,2,0.03215999999999999
P61073,3,0.06691999999999995
Q15303,0,0.7189200000000002
O00254,0,0.017700000000000014
O00254,1,0.02848
O00254,2,0.026300000000000004
O00254,3,0.040639999999999975
Q9Y624,0,0.07709999999999996
P31645,0,0.11298000000000002
P31645,1,0.013280000000000009
P31645,2,0.01354000000000001
P31645,3,0.03257999999999999
P31645,4,0.03485999999999998
P31645,5,0.01608000000000001
P31645,6,0.07829999999999998
P49146,0,0.026339999999999995
P49146,1,0.03951999999999998
P49146,2,0.051499999999999976
P49146,3,0.07027999999999998
P13569,0,0.09946000000000002
P13569,1,0.026719999999999994
P13569,2,0.14992
P13569,3,0.50098
P13569,4,0.01872000000000001
P13569,5,0.0828
P13569,6,0.41806000000000004
Q03135,0,0.21252000000000007
Q03135,1,0.07177999999999997
