tag,protein-water,protein-carbon,hydrogen bond (long-range),pi-pi (long-range),disorder (long),K-Beta similarity,disorder (short),electrostatic (short-range),8-feature sum
O00254,-19.0,-2.0,-22.0,-28.0,-23.0,-25.0,-13.0,3.0,-129.0
O14763,-13.0,31.0,2.0,-34.0,-9.0,-12.0,-6.0,15.0,-26.0
O43561,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,15.0
O60500,38.0,58.0,-39.0,-288.0,-220.0,-252.0,-135.0,-16.0,-854.0
O75445,-209.0,292.0,-300.0,-1197.0,-566.0,-444.0,-793.0,573.0,-2644.0
O75460,-28.0,32.0,-33.0,-108.0,-71.0,-50.0,-58.0,25.0,-291.0
O75581,-92.0,9.0,-121.0,-304.0,-381.0,-219.0,-137.0,-30.0,-1275.0
P00533,-47.0,64.0,-53.0,-103.0,-68.0,-12.0,-56.0,-31.0,-306.0
P01857,-11.0,33.0,-31.0,-81.0,-12.0,-12.0,-17.0,35.0,-96.0
P04626,-28.0,41.0,-68.0,-126.0,-72.0,-91.0,-120.0,-54.0,-518.0
P05067,12.0,37.0,-11.0,-89.0,-142.0,-82.0,-60.0,19.0,-316.0
P05556,-47.0,133.0,-56.0,-127.0,-49.0,18.0,-24.0,60.0,-92.0
P07766,5.0,22.0,-9.0,-15.0,-1.0,0.0,-4.0,20.0,18.0
P07949,-15.0,20.0,-33.0,-175.0,-122.0,-105.0,-81.0,41.0,-470.0
P08172,-11.0,-1.0,-13.0,-23.0,-18.0,-7.0,-7.0,8.0,-72.0
P08247,-7.0,5.0,-6.0,-14.0,-14.0,0.0,-4.0,5.0,-35.0
P08908,-6.0,11.0,2.0,-9.0,-9.0,-13.0,-14.0,10.0,-28.0
P10747,-13.0,4.0,-22.0,-33.0,-12.0,-11.0,-16.0,15.0,-88.0
P11362,-7.0,14.0,-29.0,-62.0,-43.0,-52.0,-23.0,26.0,-176.0
P13569,-14.0,7.0,-25.0,-49.0,-29.0,-23.0,-38.0,2.0,-169.0
P15529,1.0,10.0,-34.0,-55.0,-12.0,4.0,-52.0,52.0,-86.0
P15941,524.0,278.0,340.0,160.0,395.0,-183.0,-303.0,320.0,1531.0
P15954,5.0,6.0,-2.0,-2.0,6.0,2.0,4.0,1.0,20.0
P17948,-111.0,22.0,-69.0,-212.0,-138.0,-94.0,-102.0,42.0,-662.0
P20963,0.0,1.0,-4.0,-5.0,0.0,-2.0,-3.0,-3.0,-16.0
P21802,-16.0,-17.0,-22.0,-51.0,-74.0,-31.0,-34.0,31.0,-214.0
P29317,21.0,32.0,-26.0,-83.0,-82.0,-84.0,-66.0,26.0,-262.0
P31431,12.0,21.0,10.0,-31.0,0.0,-14.0,3.0,28.0,29.0
P31645,-1.0,22.0,-22.0,-30.0,-33.0,-27.0,-31.0,-3.0,-125.0
P35968,-79.0,61.0,-89.0,-190.0,-151.0,-41.0,-86.0,72.0,-503.0
P40967,4.0,16.0,-16.0,-35.0,-21.0,-26.0,-20.0,7.0,-91.0
P46531,77.0,329.0,13.0,32.0,92.0,142.0,-266.0,64.0,483.0
P49146,4.0,12.0,-5.0,-7.0,-6.0,2.0,-1.0,5.0,4.0
P61073,-1.0,-11.0,-15.0,-14.0,-17.0,-3.0,-7.0,12.0,-56.0
P63027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q04671,-13.0,7.0,-30.0,-92.0,-76.0,-64.0,-70.0,-15.0,-353.0
Q07065,0.0,95.0,-27.0,-130.0,-67.0,-91.0,-104.0,-54.0,-378.0
Q08345,52.0,29.0,29.0,-53.0,-57.0,-87.0,-54.0,16.0,-125.0
Q12879,-20.0,46.0,-44.0,-141.0,-154.0,-43.0,-100.0,53.0,-403.0
Q14739,-9.0,41.0,-2.0,-72.0,-22.0,-43.0,-12.0,23.0,-96.0
Q14BN4,0.0,-1.0,1.0,-1.0,-2.0,-2.0,1.0,0.0,-4.0
Q15303,-37.0,73.0,-51.0,-104.0,-63.0,-3.0,-90.0,21.0,-254.0
Q16635,-26.0,-26.0,-32.0,-80.0,-27.0,-28.0,-47.0,-30.0,-296.0
Q7Z3C6,-2.0,-10.0,-6.0,-7.0,-9.0,-4.0,-9.0,3.0,-44.0
Q7Z434,-1.0,1.0,2.0,-4.0,-2.0,-3.0,-1.0,2.0,-6.0
Q86WV6,1.0,3.0,-7.0,-5.0,-4.0,-7.0,-3.0,-5.0,-27.0
Q8N114,4.0,9.0,-7.0,-10.0,-9.0,-9.0,-10.0,6.0,-26.0
Q8TEM1,-47.0,25.0,-130.0,-499.0,-439.0,-300.0,-312.0,119.0,-1583.0
Q8WXG9,-333.0,179.0,-654.0,-1577.0,-1572.0,-619.0,-904.0,682.0,-4798.0
Q9H461,85.0,36.0,48.0,26.0,-24.0,-62.0,-24.0,-17.0,68.0
Q9UM73,66.0,174.0,-1.0,-146.0,-89.0,-133.0,-127.0,19.0,-237.0
Q9Y624,0.0,25.0,-2.0,-41.0,-22.0,-15.0,-14.0,54.0,-15.0
