acc,n_transmem,n_intramem,topology,in_CD-CODE,in_PhaSepDB,in_DrLLPS,in_PhaSePro,in_LLPSDB,n_databases,CDCODE_role,CDCODE_n_condensates,PhaSepDB_class,MLO Types,Gene Names,DrLLPS_type,PhaSePro_partner_dep,PICNIC_score,PICNIC_GO_score,PSAP_score,PSPHunter_prob,PSPire_score,FuzDrop_pLLPS,catGRANULE_score,PLAAC_NLLR,PScore_score,ESpritz_score,SEG_score,SaPS_score,PdPS_score,DeepPhase_score,PDL_score,RY_score,ParSe2_score,LLPhyScore_score,whole_len,whole_FCR,whole_NCPR,whole_kappa,whole_hydropathy,cyto_len,cyto_FCR,cyto_NCPR,cyto_kappa,cyto_hydropathy,tm_len,tm_FCR,tm_NCPR,tm_kappa,tm_hydropathy,ecto_len,ecto_FCR,ecto_NCPR,ecto_kappa,ecto_hydropathy,cyto_frac,tm_frac,ecto_frac,n_cyto_seg,n_tm_seg,n_ecto_seg,LCR_frac,log10_Length,mean_rank,rank_sd,n_predictors,Entry_name,Length,leakage_any
A0FGR8,2,0,multi-pass,True,False,True,False,False,2,member,2.0,,,,Client,,0.6185239433,0.2208598859,0.000833333,0.641,0.32247043,0.72,0.981239,-0.135,3.69,0.0673181324647122,0.0738327904451683,0.4211484789848327,0.7099205255508423,0.98,0.23906827,0.0890336590662323,147.40222709270765,-708.0,921,0.2399565689467969,0.020629750271444,0.1961689183715298,0.4622994329834712,876.0,0.25,0.0216894977168949,0.196218816473578,0.4511922881785858,42.0,0.0476190476190476,0.0,0.9615695792880256,0.6878306878306879,3.0,0.0,0.0,,0.548148148148148,0.9511400651465798,0.0456026058631921,0.003257328990228,2,2,1,0.0,2.964259630196849,0.7514401579503265,0.1468415305234319,18.0,ESYT2_HUMAN,921.0,True
A0FGR9,2,0,multi-pass,True,False,True,False,False,2,member,1.0,,,,Client,,0.3589081802,0.2045825727,0.0,0.151,0.005080808,0.32,0.435602,-0.349,1.49,0.0,0.0790067720090293,0.0528982691466808,0.1046302318572998,0.93,0.22853321,0.0902934537246049,24.58825115585218,-964.0,886,0.2449209932279909,0.0124153498871331,0.2030246463846437,0.4685226987710014,844.0,0.254739336492891,0.0130331753554502,0.2033181504624578,0.4591627172195907,42.0,0.0476190476190476,0.0,0.9615695792880256,0.6566137566137564,,,,,,0.9525959367945824,0.0474040632054176,,2,2,0,0.0,2.9474337218870508,0.4442901913319401,0.2216527782783985,18.0,ESYT3_HUMAN,886.0,True
A1KXE4,2,0,multi-pass,True,False,True,False,False,2,member,1.0,,,,Client,,0.6796630212,0.4046034884,0.001666667,0.56,0.5203609,0.99,-0.441368,0.149,2.9,0.0,0.241025641025641,0.7352916598320007,0.4819195866584778,0.59,0.949851,0.1179487179487179,160.86454261466548,37.0,195,0.0256410256410256,0.0256410256410256,0.2536312961253268,0.4668945868945862,49.0,0.0408163265306122,0.0408163265306122,0.4813318381400739,0.4403628117913831,46.0,0.0,0.0,,0.5707729468599037,100.0,0.03,0.03,0.3122509878952251,0.4321111111111113,0.2512820512820513,0.2358974358974359,0.5128205128205128,2,2,1,0.0,2.290034611362518,0.7372527211154353,0.2977666777494418,18.0,F168B_HUMAN,195.0,True
A1L3X0,7,0,multi-pass,True,False,True,False,False,2,member,1.0,,,,Client,,0.0719218708,0.0558782862,0.0,0.069,0.021875594,0.1,-0.739163,-0.309,-1.32,0.0,0.0355871886120996,0.0684330016374588,0.0287875030189752,0.16,0.021086754,0.1067615658362989,0.0,-525.0,281,0.1565836298932384,0.0427046263345195,0.1760485058040825,0.5280347963621981,66.0,0.3181818181818182,0.2272727272727272,0.1487344258564401,0.3405723905723906,148.0,0.027027027027027,-0.0135135135135135,0.4607811776652159,0.6496246246246246,66.0,0.2878787878787879,-0.0151515151515151,0.168201879063064,0.4400673400673401,0.2348754448398576,0.5266903914590747,0.2348754448398576,4,7,4,0.0,2.44870631990508,0.2146764100300811,0.2233863421329245,18.0,ELOV7_HUMAN,281.0,True
A6NH52,4,0,multi-pass,True,False,True,False,False,2,member,1.0,,,,Client,,0.0204436036,0.0770698838,0.0,0.005,0.005236787,0.11,-0.500845,-0.33,-1.19,0.0,0.0657276995305164,0.0602720454335212,0.0294935498386621,0.24,0.025955508,0.0469483568075117,0.0,-307.0,213,0.1830985915492957,-0.0046948356807511,0.2798096876969894,0.5426186750130413,,,,,,84.0,0.0357142857142857,0.0119047619047619,0.6382589721066381,0.6910052910052906,,,,,,,0.3943661971830985,,0,4,0,0.0,2.3283796034387376,0.1517708075750146,0.1467700020223743,18.0,TV23A_HUMAN,213.0,True
A6NL88,1,0,single-pass,True,False,True,False,False,2,member,1.0,,,,Client,,0.2069629558,0.1921235966,0.0,0.463,0.0042777103,1.0,1.23624,-0.033,4.53,0.0,0.2973977695167286,0.6160117983818054,0.2319293022155761,0.99,0.43950287,0.1133828996282527,318.2705121188595,-193.0,538,0.1654275092936803,0.0427509293680297,0.1654312935399543,0.4523543990086729,331.0,0.202416918429003,0.0513595166163142,0.1618474094286682,0.4218529707955694,21.0,0.0476190476190476,0.0476190476190476,0.8205641392203221,0.72010582010582,167.0,0.1197604790419161,0.0239520958083832,0.1835066812021641,0.4562208915502335,0.6152416356877324,0.0390334572490706,0.3104089219330855,1,1,1,0.0390334572490706,2.7307822756663893,0.6622771340333279,0.3289596045199894,18.0,SHSA7_HUMAN,538.0,True
A8CG34,1,0,single-pass,True,False,False,False,False,1,member,1.0,,,,,,0.6421751330000001,0.4076336027,0.005,0.7,0.4266066,1.0,0.747266,0.055,5.12,0.113913751017087,0.3637103336045565,0.8606311082839966,0.8708459734916687,1.0,0.8054395,0.0545158665581773,973.3398435317832,365.0,1229,0.130187144019528,0.0406834825061025,0.2088800619034745,0.460826326733576,,,,,,21.0,0.0,0.0,,0.7402116402116401,,,,,,,0.017087062652563,,0,1,0,0.0,3.089551882886454,0.8016037529896948,0.2996268918045396,18.0,P121C_HUMAN,1229.0,True
O00254,7,0,multi-pass,True,True,False,False,False,2,member,1.0,in_phasepdb_no_class,,F2RL2 PAR3,,,0.033985114,0.0564192103,0.0,0.082,0.0067556067,0.19,-1.08102,-0.304,-0.05,0.0,0.03475935828877,0.0601639859378337,0.0326947197318077,0.61,0.0671593,0.0909090909090909,3.1898290837044163,-778.0,374,0.1016042780748663,0.0160427807486631,0.2165770361245549,0.56951871657754,55.0,0.2,0.1636363636363636,0.1222119928090217,0.4509090909090909,162.0,0.0246913580246913,0.0,0.438627833499438,0.6938271604938269,119.0,0.1512605042016806,-0.0336134453781512,0.224495262054734,0.4594771241830059,0.1470588235294117,0.4331550802139037,0.3181818181818182,4,7,4,0.0,2.5728716022004803,0.2628129423798385,0.2137589039491438,18.0,PAR3_HUMAN,374.0,False
O00264,1,0,single-pass,True,False,True,False,False,2,member,1.0,,,,Client,,0.6267525054,0.4875924069,0.0,0.719,0.87026536,0.88,0.441858,-0.473,-0.21,0.2153846153846154,0.0666666666666666,0.7889958024024963,0.9358927011489868,0.35,0.041095775,0.0871794871794871,4.174715488064877,-100.0,195,0.3179487179487179,-0.082051282051282,0.2216051497250229,0.4373789173789165,152.0,0.3684210526315789,-0.0657894736842105,0.2178586537114718,0.3913011695906434,19.0,0.0,0.0,,0.7292397660818714,24.0,0.25,-0.25,0.1500223713646533,0.4981481481481482,0.7794871794871795,0.0974358974358974,0.123076923076923,1,1,1,0.0,2.290034611362518,0.5585097508726004,0.3392884561016389,18.0,PGRC1_HUMAN,195.0,False
O00299,1,0,single-pass,True,False,True,False,False,2,member,2.0,,,,Client,,0.6224723953,0.3130596768,0.0,0.703,0.9250566,0.13,-0.096755,-0.393,-0.32,0.0,0.0,0.2546564936637878,0.4160031378269195,0.0,0.12114386,0.0705394190871369,0.0,-194.0,241,0.2572614107883817,-0.0331950207468879,0.2525073667142697,0.4684647302904552,,,,,,21.0,0.0952380952380952,0.0952380952380952,0.3161916449094419,0.5999999999999999,,,,,,,0.0871369294605809,,0,1,0,0.0,2.3820170425748683,0.376290121361244,0.3266002144174094,18.0,CLIC1_HUMAN,241.0,False
