tag,protein-water,protein-carbon,hydrogen bond (long-range),pi-pi (long-range),disorder (long),K-Beta similarity,disorder (short),electrostatic (short-range),8-feature sum
O00254|extra|seg0,-1.0,5.0,-8.0,-15.0,-7.0,-12.0,-10.0,3.0,-45.0
O00254|extra|seg1,-3.0,1.0,-7.0,-6.0,-4.0,-4.0,-5.0,-3.0,-31.0
O00254|extra|seg2,-6.0,-4.0,-3.0,-10.0,-4.0,-6.0,-1.0,5.0,-29.0
O00254|extra|seg3,-4.0,-2.0,-6.0,1.0,-8.0,-6.0,-2.0,0.0,-27.0
O14763|extra|seg0,-13.0,31.0,2.0,-34.0,-9.0,-12.0,-6.0,15.0,-26.0
O43561|extra|seg0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,15.0
O60500|extra|seg0,38.0,58.0,-39.0,-288.0,-220.0,-252.0,-135.0,-16.0,-854.0
O75445|extra|seg0,-209.0,292.0,-300.0,-1197.0,-566.0,-444.0,-793.0,573.0,-2644.0
O75460|extra|seg0,-28.0,32.0,-33.0,-108.0,-71.0,-50.0,-58.0,25.0,-291.0
O75581|extra|seg0,-92.0,9.0,-121.0,-304.0,-381.0,-219.0,-137.0,-30.0,-1275.0
P00533|extra|seg0,-47.0,64.0,-53.0,-103.0,-68.0,-12.0,-56.0,-31.0,-306.0
P01857|extra|seg0,-11.0,33.0,-31.0,-81.0,-12.0,-12.0,-17.0,35.0,-96.0
P04626|extra|seg0,-28.0,41.0,-68.0,-126.0,-72.0,-91.0,-120.0,-54.0,-518.0
P05067|extra|seg0,12.0,37.0,-11.0,-89.0,-142.0,-82.0,-60.0,19.0,-316.0
P05556|extra|seg0,-47.0,133.0,-56.0,-127.0,-49.0,18.0,-24.0,60.0,-92.0
P07766|extra|seg0,5.0,22.0,-9.0,-15.0,-1.0,0.0,-4.0,20.0,18.0
P07949|extra|seg0,-15.0,20.0,-33.0,-175.0,-122.0,-105.0,-81.0,41.0,-470.0
P08172|extra|seg0,1.0,10.0,-6.0,-7.0,3.0,-8.0,4.0,1.0,-2.0
P08172|extra|seg1,-2.0,-2.0,-3.0,-3.0,-3.0,-1.0,-2.0,-1.0,-17.0
P08172|extra|seg2,-6.0,-8.0,-5.0,-8.0,-10.0,-1.0,-6.0,7.0,-37.0
P08172|extra|seg3,-2.0,-4.0,-2.0,-3.0,-4.0,-3.0,-1.0,-1.0,-20.0
P08247|extra|seg0,-6.0,6.0,-3.0,-8.0,-10.0,0.0,-10.0,7.0,-24.0
P08247|extra|seg1,-3.0,0.0,0.0,-7.0,-8.0,-7.0,1.0,-6.0,-30.0
P08908|extra|seg0,-2.0,8.0,5.0,-4.0,1.0,-8.0,-5.0,10.0,5.0
P08908|extra|seg1,0.0,2.0,-2.0,-2.0,0.0,-1.0,0.0,-2.0,-5.0
P08908|extra|seg2,-4.0,-4.0,0.0,-3.0,-11.0,-7.0,-1.0,-1.0,-31.0
P08908|extra|seg3,0.0,5.0,1.0,-1.0,0.0,-2.0,-2.0,2.0,3.0
P10747|extra|seg0,-13.0,4.0,-22.0,-33.0,-12.0,-11.0,-16.0,15.0,-88.0
P11362|extra|seg0,-7.0,14.0,-29.0,-62.0,-43.0,-52.0,-23.0,26.0,-176.0
P13569|extra|seg0,-1.0,0.0,-5.0,-5.0,-6.0,-3.0,-3.0,-2.0,-25.0
P13569|extra|seg1,2.0,3.0,-1.0,0.0,2.0,1.0,-2.0,-1.0,4.0
P13569|extra|seg2,-10.0,-5.0,-8.0,-10.0,-7.0,-4.0,-11.0,-1.0,-56.0
P13569|extra|seg3,-10.0,8.0,-11.0,-16.0,-9.0,-14.0,-13.0,6.0,-59.0
P13569|extra|seg4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P13569|extra|seg5,1.0,6.0,0.0,-6.0,-1.0,-4.0,-3.0,0.0,-7.0
P15529|extra|seg0,1.0,10.0,-34.0,-55.0,-12.0,4.0,-52.0,52.0,-86.0
P15941|extra|seg0,524.0,278.0,340.0,160.0,395.0,-183.0,-303.0,320.0,1531.0
P15954|extra|seg0,6.0,5.0,-1.0,-2.0,4.0,1.0,3.0,4.0,20.0
P15954|extra|seg1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0
P17948|extra|seg0,-111.0,22.0,-69.0,-212.0,-138.0,-94.0,-102.0,42.0,-662.0
P20963|extra|seg0,0.0,1.0,-4.0,-5.0,0.0,-2.0,-3.0,-3.0,-16.0
P21802|extra|seg0,-16.0,-17.0,-22.0,-51.0,-74.0,-31.0,-34.0,31.0,-214.0
P29317|extra|seg0,21.0,32.0,-26.0,-83.0,-82.0,-84.0,-66.0,26.0,-262.0
P31431|extra|seg0,12.0,21.0,10.0,-31.0,0.0,-14.0,3.0,28.0,29.0
P31645|extra|seg0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,-1.0,2.0
P31645|extra|seg1,-8.0,19.0,-10.0,-19.0,-9.0,-8.0,-8.0,11.0,-32.0
P31645|extra|seg2,2.0,1.0,-8.0,-11.0,-6.0,-7.0,-5.0,-7.0,-41.0
P31645|extra|seg3,4.0,7.0,-5.0,0.0,-12.0,-6.0,-9.0,0.0,-21.0
P31645|extra|seg4,0.0,1.0,-2.0,-3.0,-2.0,-1.0,-5.0,-2.0,-14.0
P31645|extra|seg5,-1.0,-5.0,-4.0,-5.0,-1.0,-2.0,-2.0,1.0,-19.0
P35968|extra|seg0,-79.0,61.0,-89.0,-190.0,-151.0,-41.0,-86.0,72.0,-503.0
P40967|extra|seg0,4.0,16.0,-16.0,-35.0,-21.0,-26.0,-20.0,7.0,-91.0
P46531|extra|seg0,77.0,329.0,13.0,32.0,92.0,142.0,-266.0,64.0,483.0
P49146|extra|seg0,7.0,8.0,3.0,1.0,-2.0,1.0,-1.0,0.0,17.0
P49146|extra|seg1,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,12.0
P49146|extra|seg2,-4.0,-2.0,-4.0,-5.0,-4.0,0.0,-2.0,3.0,-18.0
P49146|extra|seg3,0.0,3.0,-1.0,-1.0,0.0,-1.0,-3.0,-1.0,-4.0
P61073|extra|seg0,8.0,3.0,0.0,2.0,0.0,0.0,5.0,10.0,28.0
P61073|extra|seg1,-2.0,-2.0,-9.0,-7.0,-2.0,-2.0,-2.0,-1.0,-27.0
P61073|extra|seg2,-1.0,-5.0,-5.0,-4.0,-7.0,-6.0,1.0,0.0,-27.0
P61073|extra|seg3,-4.0,0.0,-5.0,-10.0,-1.0,0.0,-7.0,0.0,-27.0
P63027|extra|seg0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q04671|extra|seg0,-2.0,10.0,-9.0,-40.0,-20.0,-39.0,-35.0,4.0,-131.0
Q04671|extra|seg1,-6.0,-4.0,1.0,-7.0,-6.0,-5.0,-5.0,-2.0,-34.0
Q04671|extra|seg2,-11.0,-8.0,-14.0,-22.0,-23.0,-15.0,-10.0,-14.0,-117.0
Q04671|extra|seg3,-1.0,2.0,-5.0,-4.0,0.0,1.0,1.0,2.0,-4.0
Q04671|extra|seg4,0.0,-1.0,-2.0,-4.0,1.0,1.0,-6.0,-3.0,-14.0
Q04671|extra|seg5,5.0,7.0,-6.0,-8.0,-15.0,-6.0,-11.0,-4.0,-38.0
Q07065|extra|seg0,0.0,95.0,-27.0,-130.0,-67.0,-91.0,-104.0,-54.0,-378.0
Q08345|extra|seg0,52.0,29.0,29.0,-53.0,-57.0,-87.0,-54.0,16.0,-125.0
Q12879|extra|seg0,-41.0,21.0,-42.0,-126.0,-128.0,-42.0,-88.0,39.0,-407.0
Q12879|extra|seg1,19.0,25.0,-1.0,-13.0,-20.0,-1.0,-12.0,9.0,6.0
Q14739|extra|seg0,-9.0,41.0,-2.0,-72.0,-22.0,-43.0,-12.0,23.0,-96.0
Q14BN4|extra|seg0,0.0,-1.0,1.0,-1.0,-2.0,-2.0,1.0,0.0,-4.0
Q15303|extra|seg0,-37.0,73.0,-51.0,-104.0,-63.0,-3.0,-90.0,21.0,-254.0
Q16635|extra|seg0,-3.0,-7.0,-2.0,-4.0,-2.0,-5.0,-1.0,-4.0,-28.0
Q16635|extra|seg1,-25.0,-16.0,-29.0,-75.0,-27.0,-21.0,-48.0,-25.0,-266.0
Q7Z3C6|extra|seg0,-7.0,-13.0,-8.0,-10.0,-7.0,-5.0,-11.0,1.0,-60.0
Q7Z3C6|extra|seg1,1.0,1.0,1.0,1.0,-1.0,0.0,-1.0,2.0,4.0
Q7Z434|extra|seg0,-1.0,1.0,2.0,-4.0,-2.0,-3.0,-1.0,2.0,-6.0
Q86WV6|extra|seg0,0.0,0.0,-1.0,-2.0,-2.0,-3.0,0.0,-3.0,-11.0
Q86WV6|extra|seg1,0.0,1.0,-2.0,-1.0,-2.0,-3.0,0.0,-3.0,-10.0
Q8N114|extra|seg0,4.0,9.0,-7.0,-10.0,-9.0,-9.0,-10.0,6.0,-26.0
Q8TEM1|extra|seg0,-47.0,25.0,-130.0,-499.0,-439.0,-300.0,-312.0,119.0,-1583.0
Q8WXG9|extra|seg0,-325.0,192.0,-648.0,-1568.0,-1552.0,-606.0,-880.0,688.0,-4699.0
Q8WXG9|extra|seg1,0.0,0.0,1.0,2.0,-4.0,-4.0,-5.0,0.0,-10.0
Q8WXG9|extra|seg2,-10.0,-2.0,-5.0,-10.0,-7.0,-6.0,-11.0,1.0,-50.0
Q8WXG9|extra|seg3,-3.0,-5.0,-2.0,-4.0,-4.0,-3.0,-3.0,0.0,-24.0
Q9H461|extra|seg0,47.0,18.0,30.0,-11.0,16.0,-42.0,-23.0,2.0,37.0
Q9H461|extra|seg1,35.0,28.0,14.0,33.0,-23.0,-21.0,-4.0,-12.0,50.0
Q9H461|extra|seg2,-1.0,-1.0,-8.0,0.0,-6.0,-1.0,-1.0,0.0,-18.0
Q9H461|extra|seg3,-3.0,-8.0,-2.0,-7.0,-14.0,-12.0,0.0,-9.0,-55.0
Q9UM73|extra|seg0,66.0,174.0,-1.0,-146.0,-89.0,-133.0,-127.0,19.0,-237.0
Q9Y624|extra|seg0,0.0,25.0,-2.0,-41.0,-22.0,-15.0,-14.0,54.0,-15.0
