UniProt_ID,approach,region,seg_idx,score
P15941,whole,Whole,,0.011666666666666667
Q7Z434,whole,Whole,,0.0175
Q9BR39,whole,Whole,,0.034166666666666665
O43561,whole,Whole,,0.0175
P31431,whole,Whole,,0.0175
O75445,whole,Whole,,0.035
Q9UM73,whole,Whole,,0.03
Q9H461,whole,Whole,,0.0275
O14763,whole,Whole,,0.0125
P46531,whole,Whole,,0.029166666666666667
Q8N114,whole,Whole,,0.020833333333333332
Q07065,whole,Whole,,0.020833333333333332
P08172,whole,Whole,,0.035833333333333335
Q08345,whole,Whole,,0.021666666666666667
O60500,whole,Whole,,0.0225
P05067,whole,Whole,,0.03333333333333333
Q8WXG9,whole,Whole,,0.03166666666666667
P11362,whole,Whole,,0.02
Q8NC56,whole,Whole,,0.041666666666666664
P40967,whole,Whole,,0.013333333333333334
P07766,whole,Whole,,0.03
P20963,whole,Whole,,0.016666666666666666
P04626,whole,Whole,,0.025
O75460,whole,Whole,,0.02
P35968,whole,Whole,,0.018333333333333333
Q12879,whole,Whole,,0.03166666666666667
Q86WV6,whole,Whole,,0.021666666666666667
P07949,whole,Whole,,0.023333333333333334
P08908,whole,Whole,,0.034166666666666665
P01857,whole,Whole,,0.028333333333333332
Q7Z3C6,whole,Whole,,0.018333333333333333
O75581,whole,Whole,,0.03166666666666667
P63027,whole,Whole,,0.01
O60733,whole,Whole,,0.034166666666666665
Q04671,whole,Whole,,0.010833333333333334
Q14BN4,whole,Whole,,0.005
P15529,whole,Whole,,0.021666666666666667
Q8TEM1,whole,Whole,,0.0125
Q9UJA2,whole,Whole,,0.0075
P00533,whole,Whole,,0.024166666666666666
P21802,whole,Whole,,0.03666666666666667
P08247,whole,Whole,,0.025833333333333333
Q14739,whole,Whole,,0.028333333333333332
P29317,whole,Whole,,0.016666666666666666
P17948,whole,Whole,,0.035
P05556,whole,Whole,,0.025
P10747,whole,Whole,,0.0325
Q16635,whole,Whole,,0.0275
P61073,whole,Whole,,0.018333333333333333
Q15303,whole,Whole,,0.03333333333333333
O00254,whole,Whole,,0.0225
Q9H3U5,whole,Whole,,0.009166666666666667
Q9Y624,whole,Whole,,0.0175
P31645,whole,Whole,,0.014166666666666666
P49146,whole,Whole,,0.014166666666666666
P15954,whole,Whole,,0.013333333333333334
P13569,whole,Whole,,0.020833333333333332
Q9BRQ8,whole,Whole,,0.02
Q03135,whole,Whole,,0.023333333333333334
Q13021,whole,Whole,,0.005833333333333334
P15941,concatenated,Cytoplasmic,,0.03333333333333333
Q7Z434,concatenated,Cytoplasmic,,0.0175
Q9BR39,concatenated,Cytoplasmic,,0.03833333333333333
O43561,concatenated,Cytoplasmic,,0.021666666666666667
P31431,concatenated,Cytoplasmic,,0.016666666666666666
O75445,concatenated,Cytoplasmic,,0.030833333333333334
Q9UM73,concatenated,Cytoplasmic,,0.0325
Q9H461,concatenated,Cytoplasmic,,0.0175
O14763,concatenated,Cytoplasmic,,0.02666666666666667
P46531,concatenated,Cytoplasmic,,0.019166666666666665
Q8N114,concatenated,Cytoplasmic,,0.010833333333333334
Q07065,concatenated,Cytoplasmic,,0.020833333333333332
P08172,concatenated,Cytoplasmic,,0.03
Q08345,concatenated,Cytoplasmic,,0.024166666666666666
O60500,concatenated,Cytoplasmic,,0.019166666666666665
P05067,concatenated,Cytoplasmic,,0.016666666666666666
Q8WXG9,concatenated,Cytoplasmic,,0.025
P11362,concatenated,Cytoplasmic,,0.0275
P40967,concatenated,Cytoplasmic,,0.005
P07766,concatenated,Cytoplasmic,,0.04583333333333333
P20963,concatenated,Cytoplasmic,,0.021666666666666667
P04626,concatenated,Cytoplasmic,,0.025833333333333333
O75460,concatenated,Cytoplasmic,,0.016666666666666666
P35968,concatenated,Cytoplasmic,,0.03
Q12879,concatenated,Cytoplasmic,,0.030833333333333334
Q86WV6,concatenated,Cytoplasmic,,0.028333333333333332
P07949,concatenated,Cytoplasmic,,0.0325
P08908,concatenated,Cytoplasmic,,0.03916666666666667
Q7Z3C6,concatenated,Cytoplasmic,,0.02666666666666667
O75581,concatenated,Cytoplasmic,,0.0225
P63027,concatenated,Cytoplasmic,,0.015
Q04671,concatenated,Cytoplasmic,,0.021666666666666667
Q14BN4,concatenated,Cytoplasmic,,0.009166666666666667
P15529,concatenated,Cytoplasmic,,0.015833333333333335
Q8TEM1,concatenated,Cytoplasmic,,0.0008333333333333334
P00533,concatenated,Cytoplasmic,,0.025833333333333333
P21802,concatenated,Cytoplasmic,,0.028333333333333332
P08247,concatenated,Cytoplasmic,,0.03666666666666667
P29317,concatenated,Cytoplasmic,,0.0275
P17948,concatenated,Cytoplasmic,,0.025833333333333333
P05556,concatenated,Cytoplasmic,,0.035833333333333335
P10747,concatenated,Cytoplasmic,,0.010833333333333334
P61073,concatenated,Cytoplasmic,,0.015
Q15303,concatenated,Cytoplasmic,,0.03916666666666667
O00254,concatenated,Cytoplasmic,,0.0275
Q9Y624,concatenated,Cytoplasmic,,0.02
P31645,concatenated,Cytoplasmic,,0.0375
P49146,concatenated,Cytoplasmic,,0.0375
P13569,concatenated,Cytoplasmic,,0.020833333333333332
Q03135,concatenated,Cytoplasmic,,0.04083333333333333
P15941,concatenated,Transmembrane,,0.004166666666666667
