tag,protein-water,protein-carbon,hydrogen bond (long-range),pi-pi (long-range),disorder (long),K-Beta similarity,disorder (short),electrostatic (short-range),8-feature sum
O00254|cyto|seg0,-4.0,-2.0,1.0,-6.0,-5.0,-5.0,-2.0,1.0,-22.0
O00254|cyto|seg1,-4.0,-4.0,-4.0,-10.0,-9.0,-8.0,-4.0,0.0,-43.0
O00254|cyto|seg2,-5.0,-10.0,-5.0,-3.0,-12.0,-7.0,-6.0,-2.0,-50.0
O00254|cyto|seg3,-3.0,0.0,-1.0,-5.0,-5.0,-6.0,-2.0,-2.0,-24.0
O14763|cyto|seg0,0.0,24.0,-2.0,-39.0,-27.0,-30.0,-33.0,-14.0,-121.0
O43561|cyto|seg0,64.0,28.0,15.0,-16.0,-17.0,-51.0,-25.0,50.0,48.0
O60500|cyto|seg0,26.0,22.0,10.0,-14.0,-6.0,-36.0,-8.0,24.0,18.0
O75445|cyto|seg0,-5.0,9.0,0.0,-37.0,-10.0,-25.0,-4.0,23.0,-49.0
O75460|cyto|seg0,-26.0,15.0,-45.0,-141.0,-71.0,-68.0,-80.0,19.0,-397.0
O75581|cyto|seg0,62.0,30.0,27.0,-17.0,27.0,-41.0,-66.0,83.0,105.0
P00533|cyto|seg0,-10.0,11.0,-37.0,-152.0,-76.0,-80.0,-70.0,9.0,-405.0
P04626|cyto|seg0,30.0,17.0,29.0,-132.0,-48.0,-100.0,-98.0,3.0,-299.0
P05067|cyto|seg0,-4.0,-5.0,3.0,1.0,0.0,6.0,-4.0,10.0,7.0
P05556|cyto|seg0,-2.0,-2.0,-6.0,-10.0,-11.0,0.0,-7.0,-1.0,-39.0
P07766|cyto|seg0,13.0,6.0,10.0,-5.0,-1.0,-11.0,11.0,9.0,32.0
P07949|cyto|seg0,3.0,14.0,-26.0,-100.0,-51.0,-92.0,-77.0,-13.0,-342.0
P08172|cyto|seg0,-3.0,-5.0,-3.0,-4.0,-1.0,-3.0,-1.0,0.0,-20.0
P08172|cyto|seg1,-7.0,-9.0,1.0,-9.0,-5.0,-6.0,-3.0,1.0,-37.0
P08172|cyto|seg2,3.0,40.0,8.0,-22.0,6.0,3.0,19.0,40.0,97.0
P08172|cyto|seg3,-7.0,-7.0,-5.0,-5.0,-5.0,-1.0,-6.0,-7.0,-43.0
P08247|cyto|seg0,3.0,1.0,-2.0,-4.0,-2.0,-1.0,-6.0,1.0,-10.0
P08247|cyto|seg1,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,1.0
P08247|cyto|seg2,51.0,28.0,26.0,41.0,19.0,11.0,-8.0,18.0,186.0
P08908|cyto|seg0,1.0,0.0,-3.0,-2.0,-1.0,-1.0,-2.0,-1.0,-9.0
P08908|cyto|seg1,-7.0,-12.0,-3.0,-8.0,-13.0,-8.0,-1.0,-2.0,-54.0
P08908|cyto|seg2,18.0,8.0,15.0,-1.0,-25.0,-21.0,2.0,0.0,-4.0
P08908|cyto|seg3,-5.0,-4.0,-1.0,-3.0,-1.0,4.0,-1.0,-1.0,-12.0
P10747|cyto|seg0,-5.0,-3.0,-1.0,-11.0,-1.0,-7.0,-6.0,9.0,-25.0
P11362|cyto|seg0,-5.0,22.0,-37.0,-110.0,-46.0,-96.0,-85.0,-18.0,-375.0
P13569|cyto|seg0,-15.0,5.0,-8.0,-28.0,-7.0,-15.0,-8.0,-2.0,-78.0
P13569|cyto|seg1,-12.0,5.0,-11.0,-17.0,2.0,-2.0,-12.0,2.0,-45.0
P13569|cyto|seg2,-7.0,3.0,6.0,-8.0,-8.0,-5.0,-9.0,4.0,-24.0
P13569|cyto|seg3,-36.0,40.0,-58.0,-149.0,-79.0,-39.0,-67.0,31.0,-357.0
P13569|cyto|seg4,-9.0,3.0,-15.0,-17.0,-7.0,-11.0,-23.0,-10.0,-89.0
P13569|cyto|seg5,-12.0,8.0,-16.0,-32.0,-5.0,-13.0,-22.0,-12.0,-104.0
P13569|cyto|seg6,-36.0,27.0,-33.0,-100.0,-61.0,-35.0,-39.0,10.0,-267.0
P15529|cyto|seg0,-7.0,3.0,5.0,-9.0,-5.0,-4.0,-3.0,0.0,-20.0
