UniProt_ID,whole_len,whole_FCR,whole_NCPR,whole_kappa,whole_hydropathy,cyto_len,cyto_FCR,cyto_NCPR,cyto_kappa,cyto_hydropathy,tm_len,tm_FCR,tm_NCPR,tm_kappa,tm_hydropathy,ecto_len,ecto_FCR,ecto_NCPR,ecto_kappa,ecto_hydropathy,cyto_frac,tm_frac,ecto_frac,n_cyto_seg,n_tm_seg,n_ecto_seg,LCR_frac,log10_Length
A0FGR8,921,0.2399565689467969,0.020629750271444,0.1961689183715298,0.4622994329834712,876.0,0.25,0.0216894977168949,0.196218816473578,0.4511922881785858,42.0,0.0476190476190476,0.0,0.9615695792880256,0.6878306878306879,3.0,0.0,0.0,,0.548148148148148,0.9511400651465798,0.0456026058631921,0.003257328990228,2,2,1,0.0,2.964259630196849
A0FGR9,886,0.2449209932279909,0.0124153498871331,0.2030246463846437,0.4685226987710014,844.0,0.254739336492891,0.0130331753554502,0.2033181504624578,0.4591627172195907,42.0,0.0476190476190476,0.0,0.9615695792880256,0.6566137566137564,,,,,,0.9525959367945824,0.0474040632054176,,2,2,0,0.0,2.9474337218870508
A1KXE4,195,0.0256410256410256,0.0256410256410256,0.2536312961253268,0.4668945868945862,49.0,0.0408163265306122,0.0408163265306122,0.4813318381400739,0.4403628117913831,46.0,0.0,0.0,,0.5707729468599037,100.0,0.03,0.03,0.3122509878952251,0.4321111111111113,0.2512820512820513,0.2358974358974359,0.5128205128205128,2,2,1,0.0,2.290034611362518
A1L3X0,281,0.1565836298932384,0.0427046263345195,0.1760485058040825,0.5280347963621981,66.0,0.3181818181818182,0.2272727272727272,0.1487344258564401,0.3405723905723906,148.0,0.027027027027027,-0.0135135135135135,0.4607811776652159,0.6496246246246246,66.0,0.2878787878787879,-0.0151515151515151,0.168201879063064,0.4400673400673401,0.2348754448398576,0.5266903914590747,0.2348754448398576,4,7,4,0.0,2.44870631990508
A6NH52,213,0.1830985915492957,-0.0046948356807511,0.2798096876969894,0.5426186750130413,,,,,,84.0,0.0357142857142857,0.0119047619047619,0.6382589721066381,0.6910052910052906,,,,,,,0.3943661971830985,,0,4,0,0.0,2.3283796034387376
A6NL88,538,0.1654275092936803,0.0427509293680297,0.1654312935399543,0.4523543990086729,331.0,0.202416918429003,0.0513595166163142,0.1618474094286682,0.4218529707955694,21.0,0.0476190476190476,0.0476190476190476,0.8205641392203221,0.72010582010582,167.0,0.1197604790419161,0.0239520958083832,0.1835066812021641,0.4562208915502335,0.6152416356877324,0.0390334572490706,0.3104089219330855,1,1,1,0.0390334572490706,2.7307822756663893
A8CG34,1229,0.130187144019528,0.0406834825061025,0.2088800619034745,0.460826326733576,,,,,,21.0,0.0,0.0,,0.7402116402116401,,,,,,,0.017087062652563,,0,1,0,0.0,3.089551882886454
I3L0A0,370,0.2,-0.0162162162162162,0.2477001851523277,0.4860960960960968,,,,,,46.0,0.0217391304347826,-0.0217391304347826,0.9999999999999996,0.7120772946859903,,,,,,,0.1243243243243243,,0,2,0,0.0,2.568201724066995
O00254,374,0.1016042780748663,0.0160427807486631,0.2165770361245549,0.56951871657754,55.0,0.2,0.1636363636363636,0.1222119928090217,0.4509090909090909,162.0,0.0246913580246913,0.0,0.438627833499438,0.6938271604938269,119.0,0.1512605042016806,-0.0336134453781512,0.224495262054734,0.4594771241830059,0.1470588235294117,0.4331550802139037,0.3181818181818182,4,7,4,0.0,2.5728716022004803
O00264,195,0.3179487179487179,-0.082051282051282,0.2216051497250229,0.4373789173789165,152.0,0.3684210526315789,-0.0657894736842105,0.2178586537114718,0.3913011695906434,19.0,0.0,0.0,,0.7292397660818714,24.0,0.25,-0.25,0.1500223713646533,0.4981481481481482,0.7794871794871795,0.0974358974358974,0.123076923076923,1,1,1,0.0,2.290034611362518
O00299,241,0.2572614107883817,-0.0331950207468879,0.2525073667142697,0.4684647302904552,,,,,,21.0,0.0952380952380952,0.0952380952380952,0.3161916449094419,0.5999999999999999,,,,,,,0.0871369294605809,,0,1,0,0.0,2.3820170425748683
O00445,386,0.2409326424870466,0.0284974093264248,0.2041945848531588,0.4609671848013815,341.0,0.2609970674486803,0.0381231671554252,0.2049540677220351,0.4538611925708701,21.0,0.0,0.0,,0.6820105820105821,,,,,,0.883419689119171,0.0544041450777202,,1,1,0,0.0,2.586587304671755
O00483,81,0.2222222222222222,0.0493827160493827,0.1464565812912973,0.4577503429355284,,,,,,23.0,0.0434782608695652,0.0434782608695652,0.6755332023371112,0.6753623188405797,44.0,0.3181818181818182,0.0,0.1223681613464678,0.3527777777777778,,0.2839506172839506,0.5432098765432098,0,1,1,0.0,1.9084850188786495
O00519,579,0.1899827288428324,0.003454231433506,0.2048415667423877,0.4979274611398981,520.0,0.2019230769230769,-0.0019230769230769,0.2029875021281428,0.4801709401709393,21.0,0.0,0.0,,0.7275132275132273,,,,,,0.8981001727115717,0.0362694300518134,,2,1,0,0.0,2.762678563727436
O00533,1208,0.2342715231788079,-0.0273178807947019,0.191063392279844,0.4471394407652631,105.0,0.3333333333333333,-0.0666666666666666,0.1910537364715126,0.3801058201058204,21.0,0.0,0.0,,0.8084656084656083,1058.0,0.2306238185255198,-0.0264650283553875,0.1901537516049036,0.4422705314009629,0.0869205298013245,0.0173841059602649,0.8758278145695364,1,1,1,0.0,3.082066934285113
O00767,359,0.2033426183844011,0.0194986072423398,0.1775924584568794,0.4788300835654594,267.0,0.2546816479400749,0.0149812734082397,0.1751538490548981,0.4348730753225132,84.0,0.0357142857142857,0.0357142857142857,0.2896586826306815,0.6287037037037038,8.0,0.25,0.0,0.5,0.3722222222222222,0.7437325905292479,0.233983286908078,0.022284122562674,3,4,2,0.0,2.55509444857832
O14495,311,0.180064308681672,0.045016077170418,0.1742269832149749,0.5115398356555911,93.0,0.2580645161290322,0.1505376344086021,0.2210267285304818,0.3875746714456392,123.0,0.040650406504065,-0.008130081300813,0.4044491139037083,0.6924119241192414,95.0,0.2842105263157894,0.0105263157894736,0.1784162733218651,0.3987134502923978,0.2990353697749196,0.3954983922829582,0.3054662379421222,4,6,3,0.0,2.492760389026837
O14511,850,0.2223529411764706,0.0435294117647058,0.198998270628945,0.4255555555555567,424.0,0.2169811320754717,0.0188679245283018,0.2577536941568676,0.4044811320754708,21.0,0.0,0.0,,0.8211640211640209,294.0,0.2619047619047619,0.0714285714285714,0.1440291714111648,0.4315192743764166,0.4988235294117647,0.0247058823529411,0.3458823529411765,1,1,1,0.0517647058823529,2.929418925714293
O14514,1584,0.2108585858585858,0.0075757575757575,0.1678828821762099,0.4655162738496143,453.0,0.2737306843267108,0.0264900662251655,0.1495996372531629,0.4023301447142521,147.0,0.0204081632653061,-0.0068027210884353,0.8379095570746008,0.7308390022675736,954.0,0.2127882599580712,-0.0031446540880503,0.1791384105235958,0.4503843466107652,0.2859848484848485,0.0928030303030303,0.6022727272727273,4,7,4,0.0265151515151515,3.1997551772534747
