UniProt_ID,region,seg_idx,start,end,n_residues,score
Q86WV6,Cytoplasmic,0,1,17,17,0.063880526
P31645,Cytoplasmic,5,517,538,22,0.15942374
P07766,Cytoplasmic,0,153,207,55,0.9354223
Q9BR39,Cytoplasmic,0,1,674,674,0.22535762
P61073,Cytoplasmic,3,303,352,50,0.08692208
P31431,Cytoplasmic,0,171,198,28,0.89285946
Q04671,Cytoplasmic,3,531,620,90,0.09373577
Q12879,Cytoplasmic,0,577,600,24,0.41932645
P35968,Cytoplasmic,0,786,1356,571,0.4987711
P31645,Cytoplasmic,2,272,277,6,0.6139413
P04626,Cytoplasmic,0,676,1255,580,0.9297663
P40967,Cytoplasmic,0,617,661,45,0.095400736
P31645,Cytoplasmic,1,136,160,25,0.028582525
Q9H461,Cytoplasmic,3,606,694,89,0.050573118
Q04671,Cytoplasmic,2,402,423,22,0.07916908
P13569,Cytoplasmic,6,1152,1480,329,0.06922839
Q7Z3C6,Cytoplasmic,5,493,839,347,0.0031583305
O43561,Cytoplasmic,0,28,262,235,0.41204184
Q14739,Cytoplasmic,0,1,211,211,0.3510343
P05067,Cytoplasmic,0,723,770,48,0.28762454
P49146,Cytoplasmic,0,74,86,13,0.49108043
Q9H461,Cytoplasmic,0,297,312,16,0.45104438
Q9H461,Cytoplasmic,2,505,532,28,0.16105238
O00254,Cytoplasmic,3,362,374,13,0.7180404
P08908,Cytoplasmic,3,404,422,19,0.29038122
Q14BN4,Cytoplasmic,0,1,802,802,0.63869995
Q8TEM1,Cytoplasmic,0,27,1808,1782,0.0898286
P49146,Cytoplasmic,2,241,267,27,0.8635998
P00533,Cytoplasmic,0,669,1210,542,0.8326141
P08247,Cytoplasmic,2,224,313,90,0.17833546
P08172,Cytoplasmic,0,47,60,14,0.055449396
P46531,Cytoplasmic,0,1757,2555,799,0.4224743
Q7Z3C6,Cytoplasmic,1,155,290,136,0.0011667961
Q04671,Cytoplasmic,5,738,760,23,0.05950727
Q9Y624,Cytoplasmic,0,260,299,40,0.4728868
P08172,Cytoplasmic,2,208,387,180,0.82423735
P31645,Cytoplasmic,4,444,463,20,0.3854734
P20963,Cytoplasmic,0,52,164,113,0.4001619
Q12879,Cytoplasmic,1,616,625,10,0.8109625
P49146,Cytoplasmic,3,327,381,55,0.19016697
O14763,Cytoplasmic,0,232,440,209,0.26839632
P08247,Cytoplasmic,0,1,25,25,0.05703337
P31645,Cytoplasmic,3,348,360,13,0.37112647
O00254,Cytoplasmic,1,190,206,17,0.31257403
P49146,Cytoplasmic,1,147,163,17,0.44065136
Q12879,Cytoplasmic,2,836,1464,629,0.0068681366
O00254,Cytoplasmic,2,281,297,17,0.07945487
Q86WV6,Cytoplasmic,1,70,91,22,0.055361044
Q8TEM1,Cytoplasmic,1,1830,1887,58,0.046343565
Q7Z3C6,Cytoplasmic,0,2,61,60,0.0025220236
Q8N114,Cytoplasmic,0,127,240,114,0.02100639
P13569,Cytoplasmic,1,147,195,49,0.01379275
P08172,Cytoplasmic,3,443,466,24,0.32550317
P08172,Cytoplasmic,1,120,140,21,0.34249753
P61073,Cytoplasmic,0,64,77,14,0.74789435
P08908,Cytoplasmic,1,133,152,20,0.37704918
P63027,Cytoplasmic,0,2,94,93,0.50202453
O75460,Cytoplasmic,0,465,977,513,0.2231983
Q7Z3C6,Cytoplasmic,3,329,371,43,0.005937761
