Rank,UniProt_ID,STRING_ID,Protein_Names,pLLPS_Score
1,O15027,SC16A_HUMAN,Protein transport protein Sec16A (SEC16 homolog A) (p250),1.0
2,Q9NRA8,4ET_HUMAN,Eukaryotic translation initiation factor 4E transporter (4E-T) (eIF4E transporter) (Eukaryotic translation initiation factor 4E nuclear import factor 1),1.0
3,O43823,AKAP8_HUMAN,A-kinase anchor protein 8 (AKAP-8) (A-kinase anchor protein 95 kDa) (AKAP 95),1.0
4,O95409,ZIC2_HUMAN,Zinc finger protein ZIC 2 (Zinc finger protein of the cerebellum 2),1.0
5,P52945,PDX1_HUMAN,Pancreas/duodenum homeobox protein 1 (PDX-1) (Glucose-sensitive factor) (GSF) (Insulin promoter factor 1) (IPF-1) (Insulin upstream factor 1) (IUF-1) (Islet/duodenum homeobox-1) (IDX-1) (Somatostatin-transactivating factor 1) (STF-1),1.0
6,Q08495,DEMA_HUMAN,Dematin (Dematin actin-binding protein) (Erythrocyte membrane protein band 4.9),1.0
7,Q9HBR0,S38AA_HUMAN,Putative sodium-coupled neutral amino acid transporter 10 (Solute carrier family 38 member 10),1.0
8,Q15651,HMGN3_HUMAN,High mobility group nucleosome-binding domain-containing protein 3 (Thyroid receptor-interacting protein 7) (TR-interacting protein 7) (TRIP-7),0.99
9,Q5VZ89,DEN4C_HUMAN,DENN domain-containing protein 4C,0.99
10,P18848,ATF4_HUMAN,Cyclic AMP-dependent transcription factor ATF-4 (cAMP-dependent transcription factor ATF-4) (Activating transcription factor 4) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (Tax-responsive enhancer element-binding protein 67) (TaxREB67),0.99
11,Q92504,S39A7_HUMAN,"Zinc transporter SLC39A7 (Histidine-rich membrane protein Ke4) (Really interesting new gene 5 protein) (Solute carrier family 39 member 7) (Zrt-, Irt-like protein 7) (ZIP7)",0.99
12,Q9BZC7,ABCA2_HUMAN,ATP-binding cassette sub-family A member 2 (ATP-binding cassette transporter 2) (ATP-binding cassette 2),0.98
13,Q92681,RSCA1_HUMAN,Regulatory solute carrier protein family 1 member 1 (Transporter regulator RS1) (hRS1),0.98
14,Q9ULF5,S39AA_HUMAN,Zinc transporter ZIP10 (Solute carrier family 39 member 10) (Zrt- and Irt-like protein 10) (ZIP-10),0.98
15,Q9BXB5,OSB10_HUMAN,Oxysterol-binding protein-related protein 10 (ORP-10) (OSBP-related protein 10),0.97
16,Q92570,NR4A3_HUMAN,Nuclear receptor subfamily 4 group A member 3 (Mitogen-induced nuclear orphan receptor) (Neuron-derived orphan receptor 1) (Nuclear hormone receptor NOR-1),0.97
17,Q8NDF8,PAPD5_HUMAN,Terminal nucleotidyltransferase 4B (Non-canonical poly(A) RNA polymerase PAPD5) (EC 2.7.7.19) (PAP-associated domain-containing protein 5) (Terminal guanylyltransferase) (EC 2.7.7.-) (Terminal uridylyltransferase 3) (TUTase 3) (Topoisomerase-related function protein 4-2) (TRF4-2),0.96
18,Q6ZMH5,S39A5_HUMAN,Zinc transporter ZIP5 (Solute carrier family 39 member 5) (Zrt- and Irt-like protein 5) (ZIP-5),0.96
19,Q15311,RBP1_HUMAN,RalA-binding protein 1 (RalBP1) (76 kDa Ral-interacting protein) (Dinitrophenyl S-glutathione ATPase) (DNP-SG ATPase) (Ral-interacting protein 1),0.96
20,Q13433,S39A6_HUMAN,Zinc transporter ZIP6 (Estrogen-regulated protein LIV-1) (Solute carrier family 39 member 6) (Zrt- and Irt-like protein 6) (ZIP-6),0.96
